feature,equal,critic,max_variance,max_variance_capped
education_bachelor_or_higher,0.047619047619047616,0.08195763826810731,1.0,0.2
education_master_or_higher,0.047619047619047616,0.08107812627585365,0.0,0.2
education_doctoral,0.047619047619047616,0.06461296454404468,0.0,0.0
has_mba_emba,0.047619047619047616,0.0778029518126225,0.0,0.2
has_foreign_education,0.047619047619047616,0.08623854608819785,0.0,0.2
has_professional_retraining,0.047619047619047616,0.021865467022579955,0.0,0.0
has_law_education,0.047619047619047616,0.047568318815296946,0.0,0.0
has_economics_education,0.047619047619047616,0.08312714873478456,0.0,0.2
publications_count,0.047619047619047616,0.010981495169481366,0.0,0.0
has_research_experience,0.047619047619047616,0.062117741523531854,0.0,0.0
research_experience_years,0.047619047619047616,0.011045620824895925,0.0,0.0
patents_count,0.047619047619047616,0.008379053203888763,0.0,0.0
experience_years_same_sector,0.047619047619047616,0.03889479164989243,0.0,0.0
experience_years_same_industry,0.047619047619047616,0.03946153661833557,0.0,0.0
experience_years_same_industry_group,0.047619047619047616,0.03860524232211167,0.0,0.0
professional_experience_years,0.047619047619047616,0.027963881481437945,0.0,0.0
has_experience_same_sector,0.047619047619047616,0.03435650081286777,0.0,0.0
has_experience_same_industry,0.047619047619047616,0.0413333731593297,0.0,0.0
has_experience_same_industry_group,0.047619047619047616,0.03693625270531393,0.0,0.0
has_other_company_management,0.047619047619047616,0.0714727738924143,0.0,0.0
current_company_experience_years,0.047619047619047616,0.034200575075011265,0.0,0.0
