feature,equal,critic,max_variance,max_variance_capped
education_bachelor_or_higher,0.047619047619047616,0.07907875294314384,0.0,0.2
education_master_or_higher,0.047619047619047616,0.08056418445905028,0.0,0.2
education_doctoral,0.047619047619047616,0.07567113928741542,0.0,0.2
has_mba_emba,0.047619047619047616,0.07822971371685364,0.0,0.0
has_foreign_education,0.047619047619047616,0.08774204490023713,0.0,0.0
has_professional_retraining,0.047619047619047616,0.04348804015475819,0.0,0.0
has_law_education,0.047619047619047616,0.0635416889076638,0.0,0.0
has_economics_education,0.047619047619047616,0.09164926933475684,1.0,0.2
publications_count,0.047619047619047616,0.0007754491026943636,0.0,0.0
has_research_experience,0.047619047619047616,0.06602435669283939,0.0,0.2
research_experience_years,0.047619047619047616,0.016824869228820896,0.0,0.0
patents_count,0.047619047619047616,0.006098704952752372,0.0,0.0
experience_years_same_sector,0.047619047619047616,0.03390821849842996,0.0,0.0
experience_years_same_industry,0.047619047619047616,0.0331603439093355,0.0,0.0
experience_years_same_industry_group,0.047619047619047616,0.03332318752336169,0.0,0.0
professional_experience_years,0.047619047619047616,0.02391489146558009,0.0,0.0
has_experience_same_sector,0.047619047619047616,0.02437852218073455,0.0,0.0
has_experience_same_industry,0.047619047619047616,0.02437852218073455,0.0,0.0
has_experience_same_industry_group,0.047619047619047616,0.02437852218073455,0.0,0.0
has_other_company_management,0.047619047619047616,0.07992557637207902,0.0,0.0
current_company_experience_years,0.047619047619047616,0.032944002008023915,0.0,0.0
