feature,all_managers_critic,ceo_critic,difference_ceo_minus_all,label
education_bachelor_or_higher,0.08195763826810731,0.07907875294314384,-0.0028788853249634705,Бакалавриат и выше
education_master_or_higher,0.08107812627585365,0.08056418445905028,-0.0005139418168033649,Магистратура / специалитет и выше
education_doctoral,0.06461296454404468,0.07567113928741542,0.011058174743370744,Учёная степень
has_mba_emba,0.0778029518126225,0.07822971371685364,0.00042676190423113214,MBA / EMBA
has_foreign_education,0.08623854608819785,0.08774204490023713,0.001503498812039275,Зарубежное образование
has_professional_retraining,0.021865467022579955,0.04348804015475819,0.021622573132178236,Профессиональная переподготовка
has_law_education,0.047568318815296946,0.0635416889076638,0.015973370092366858,Юридическое образование
has_economics_education,0.08312714873478456,0.09164926933475684,0.008522120599972274,Экономическое образование
publications_count,0.010981495169481366,0.0007754491026943636,-0.010206046066787001,Количество публикаций
has_research_experience,0.062117741523531854,0.06602435669283939,0.0039066151693075354,Наличие исследовательского опыта
research_experience_years,0.011045620824895925,0.016824869228820896,0.005779248403924971,Годы исследовательского опыта
patents_count,0.008379053203888763,0.006098704952752372,-0.002280348251136391,Количество патентов
experience_years_same_sector,0.03889479164989243,0.03390821849842996,-0.004986573151462469,Годы в том же секторе
experience_years_same_industry,0.03946153661833557,0.0331603439093355,-0.006301192709000071,Годы в той же отрасли
experience_years_same_industry_group,0.03860524232211167,0.03332318752336169,-0.005282054798749977,Годы в той же отраслевой группе
professional_experience_years,0.027963881481437945,0.02391489146558009,-0.0040489900158578555,Общий профессиональный стаж
has_experience_same_sector,0.03435650081286777,0.02437852218073455,-0.009977978632133223,Опыт в том же секторе
has_experience_same_industry,0.0413333731593297,0.02437852218073455,-0.016954850978595153,Опыт в той же отрасли
has_experience_same_industry_group,0.03693625270531393,0.02437852218073455,-0.01255773052457938,Опыт в той же отраслевой группе
has_other_company_management,0.0714727738924143,0.07992557637207902,0.00845280247966472,Управление другой компанией
current_company_experience_years,0.034200575075011265,0.032944002008023915,-0.00125657306698735,Стаж в текущей компании
