,equal,critic,max_variance,max_variance_capped
equal,1.0,0.9672866192373338,0.5700164300492971,0.8386089177915271
critic,0.9672866192373338,1.0,0.6348130412242269,0.8655147045160563
max_variance,0.5700164300492971,0.6348130412242269,1.0,0.6228675245512113
max_variance_capped,0.8386089177915271,0.8655147045160563,0.6228675245512113,1.0
