sample,method,index_variance,index_std,nonzero_weights,max_weight,effective_features
all_managers,equal,78.78676513424371,8.876190913575694,21,0.047619047619047616,21.000000000000007
all_managers,critic,143.7961162015901,11.991501832614217,21,0.08623854608819785,16.487549331485233
all_managers,max_variance,1121.3017324828784,33.48584376244502,1,1.0,1.0
all_managers,max_variance_capped,450.435965005833,21.223476741708296,5,0.2,4.999999999999999
ceo,equal,124.47012824665885,11.156618136633469,21,0.047619047619047616,21.000000000000007
ceo,critic,268.09443269047085,16.373589487051117,21,0.09164926933475684,15.507429616586915
ceo,max_variance,2518.3150183150183,50.18281596637457,1,1.0,1.0
ceo,max_variance_capped,1015.6043956043958,31.8685486899607,5,0.2,4.999999999999999
