method,index_variance,index_std,nonzero_weights,max_weight,effective_features
equal,124.47012824665885,11.156618136633469,21,0.047619047619047616,21.000000000000007
critic,268.09443269047085,16.373589487051117,21,0.09164926933475684,15.507429616586915
max_variance,2518.3150183150183,50.18281596637457,1,1.0,1.0
max_variance_capped,1015.6043956043958,31.8685486899607,5,0.2,4.999999999999999
