,equal,critic,max_variance,max_variance_capped
equal,1.0,0.9872776863602551,0.8604386432497888,0.8942139354068459
critic,0.9872776863602551,1.0,0.8731986825329265,0.9373868643025278
max_variance,0.8604386432497888,0.8731986825329265,1.0,0.8544248346806845
max_variance_capped,0.8942139354068459,0.9373868643025278,0.8544248346806845,1.0
