feature,std,conflict,information,weight
education_bachelor_or_higher,0.3348584376244502,13.821347983046339,4.628194991466743,0.08195763826810731
education_master_or_higher,0.3346767795047111,13.680448491133163,4.578528443192531,0.08107812627585365
education_doctoral,0.20675431036235592,17.647667319438767,3.6487312861348484,0.06461296454404468
has_mba_emba,0.23763030871595806,18.48912910334391,4.393577456716818,0.0778029518126225
has_foreign_education,0.2662295643114554,18.29225965906089,4.869940319303792,0.08623854608819785
has_professional_retraining,0.06311960763597375,19.562154303731862,1.2347555041659304,0.021865467022579955
has_law_education,0.1340917123287754,20.03263503525415,2.6862103343346466,0.047568318815296946
has_economics_education,0.30672787489680164,15.304242961407722,4.694237920456925,0.08312714873478456
publications_count,0.031183119765660575,19.886764237791752,0.6201313509785158,0.010981495169481366
has_research_experience,0.2054269692563494,17.075774515450938,3.5078246064138945,0.062117741523531854
research_experience_years,0.0337306977033053,18.492133460274932,0.6237525636377107,0.011045620824895925
patents_count,0.026699668563221753,17.72194117745916,0.4731699557350715,0.008379053203888763
experience_years_same_sector,0.16108736159375842,13.634907436695,2.1964112645523133,0.03889479164989243
experience_years_same_industry,0.16165596526698287,13.784926991993775,2.22841567902564,0.03946153661833557
experience_years_same_industry_group,0.1605625200150938,13.577640953821387,2.1800602474057036,0.03860524232211167
professional_experience_years,0.1196502043454781,13.19794217090362,1.579136477688421,0.027963881481437945
has_experience_same_sector,0.11899102529869451,16.304854628998328,1.9401313696506763,0.03435650081286777
has_experience_same_industry,0.14235002611179656,16.39704206108219,2.334119365551276,0.0413333731593297
has_experience_same_industry_group,0.12676169056842787,16.45458840170413,2.085811443407661,0.03693625270531393
has_other_company_management,0.23014813954727492,17.537003232415902,4.036108667175067,0.0714727738924143
current_company_experience_years,0.12090034202267004,15.974530106391489,1.9313261535141706,0.034200575075011265
