ticker,name,facial_trust_appearance_proxy,is_ceo,source_positions,face_score
BELU,Прохоров Константин Анатольевич,-0.0666806531407407,True,Председатель правления,48.88865578098765
BELU,Белокопытов Николай Владимирович,,False,Председатель СД+CFO,
BELU,Гукасян Мелине Генриковна,,False,Член СД,
BELU,Иконников Александр Вячеславович,,False,Член СД,
BELU,Купцов Сергей Александрович,-0.5686178541857745,False,Член СД,40.52303576357043
BELU,Крачковский Александр Борисович,,False,Член СД,
BELU,Мечетин Александр Анатольевич,,False,Член СД,
BELU,Молчанов Сергей Витальевич,,False,Член СД+Операционный директор,
BELU,Ордовский-Танаевский Бланко Ростислав,,False,Член СД,
BSPB,Савельев Александр Васильевич,,True,CEO+Председатель правления,
BSPB,Иванникова Елена Викторовна,,False,Председатель СД,
CBOM,Маликова Дина Ринатовна,-0.7782978554475365,True,Председатель правления,37.02836907587439
CHMF,Шевелёв Александр Анатольевич,,False,CEO+Член СД,
CHMF,Мордашов Алексей Александрович,,False,Председатель СД,
CHMK,Капнин Владимир Викторович,-0.2816638381214424,True,CEO,45.30560269797596
CIAN,Григорьев Дмитрий Константинович,-0.185278488669366,False,CEO+Член СД,46.9120251888439
CIAN,Мельников Максим Анатольевич,0.1839792529678854,False,Председатель СД,53.06632088279809
DATA,Пустовой Максим Владимирович,0.4408434176082116,True,CEO,57.3473902934702
DATA,Жуков Андрей,,False,CFO,
DATA,Бушуева Екатерина,0.3704580809884937,False,IRO,56.174301349808225
DATA,Гревцев Виктор Викторович,,False,Руководитель подразделения внутреннего аудита,
DATA,Муницына Мария Анатольевна,0.6566078741836323,False,Руководитель подразделения внутреннего контроля и управления рисками,60.943464569727205
DELI,Бехтина Елена Александровна,0.5741125177962594,True,CEO,59.568541963270995
DELI,Лойко Михаил,-1.0163616901245236,False,CFO,33.06063849792461
DELI,Белотуркин Александр,0.0148505782428424,False,CTO,50.24750963738071
DELI,Коновальчук Виталий,1.1295100207193276,False,"CXO, CHRO",68.8251670119888
DELI,Чарухин Денис Юрьевич,,False,Председатель СД,
DELI,Алгульян Даниил Валерьевич,,False,Член СД,
DELI,Артюх Константин Юрьевич,,False,Член СД,
DELI,Гюванч Донмез,,False,Член СД,
DELI,Меликян Артур Борисович,,False,Член СД,
DELI,Полещук Ярослав Николаевич,,False,Член СД,
DELI,Саволайнен Ольга Викторовна,,False,Член СД,
DELI,Садовин Владимир Альбертович,,False,Член СД,
DELI,Чораян Григорий Ованесович,,False,Член СД,
DIAS,Глазков Александр Валериевич,,True,"CEO, член СД",
DIAS,Ляшков Александр Анатольевич,,False,Член Ревизионной комиссии,
DIAS,Лебедев Дмитрий Владимирович,,False,Член Ревизионной комиссии,
DIAS,Бабкин Алексей Анатольевич,,False,Член Ревизионной комиссии,
DIAS,Бочкарев Сергей Викторович,,False,Председатель СД,
DIAS,Таскаева Татьяна Петровна,,False,Руководитель по работе с инвесторами и акционерами,
DIAS,Клишина Екатерина Александровна,,False,Руководитель подразделения внутреннего аудита,
DVEC,Кимерин Владимир Анатольевич,,True,CEO,
DVEC,Власов Алексей Валерьевич,,False,Председатель СД,
DVEC,Бельченко Антон Леонидович,,False,Член СД,
DVEC,Борисенко Вера Валентиновна,,False,Член СД,
DVEC,Кабанова Лариса Владимировна,,False,Член СД,
DVEC,Коптяков Станислав Сергеевич,,False,Член СД,
DVEC,Осенкова Ксения Геннадьевна,,False,Член СД,
DVEC,Сорокин Роман Юрьевич,,False,Член СД,
DVEC,Стороженко Виталий Анатольевич,,False,Член СД,
DVEC,Тюльпанов Евгений Викторович,,False,Член СД,
DVEC,Ажимов Олег Евгеньевич,,False,Председатель Ревизионной комиссии,
DVEC,Доланова Елена Федоровна,,False,Член Ревизионной комиссии,
DVEC,Меделец Светлана Юрьевна,,False,Член Ревизионной комиссии,
DVEC,Коломиец Владимир Александрович,,False,Член Ревизионной комиссии,
DVEC,Дьяченко Ксения Юрьевна,,False,Член Ревизионной комиссии,
ELFV,Тналин Алибек Айбекович,,True,CEO,
ELFV,Атцени Москвитин Матвей Владимирович,,False,Член Правления,
ELFV,Верещагин Михаил Игоревич,,False,Член Правления,
ELFV,Косменюк Олег Николаевич,,False,Член Правления,
ELFV,Леонова Нина Васильевна,,False,Член Правления,
ELFV,Седова Жанна Игоревна,,False,Член Правления,
ELFV,Рачкин Сергей Владимирович,,False,Член Правления,
ELFV,Рожина Лариса Николаевна,,False,Руководитель подразделения внутреннего аудита,
ELFV,Юзефович Елена Константиновна,,False,Руководитель подразделения внутреннего контроля и управления рисками,
ENPG,Колмогоров Владимир Васильевич,,True,CEO,
