ticker,name,Nom_2015,Nom_2016,Nom_2017,Nom_2018,Nom_2019,Nom_2020,Nom_2021,Nom_2022,Nom_2023,Nom_2024,is_ceo,source_positions,awards_raw,awards_score
ALRS,Павленко Сергей Витальевич,,,,,,,,,,,False,Первый зам. ген. дир. Исполнительный директор,0.0,0.0
APTK,Кузин Александр Владимирович,,,N,N,N,N,N,N,N,N,False,CEO+Член СД,8.0,72.16976134290604
AQUA,Соснов Илья Геннадьевич,,,,,,,,,,,True,CEO,0.0,0.0
AQUA,Чернова Екатерина Анатольевна,,,,,,,,,,,False,Председатель СД,0.0,0.0
AQUA,Аюпова Сайёра Якуповна,,,,,,,,,,,False,Член СД,0.0,0.0
AQUA,Погуляев Владислав Юрьевич,,,,,,,,,,,False,Член СД,0.0,0.0
AQUA,Александров Владимир Валерьевич,,,,,,,,,,,False,Член СД,0.0,0.0
AQUA,Васильков Дмитрий Олегович,,,,,,,,,,,False,Член СД,0.0,0.0
AQUA,Кащеев Роман Витальевич,,,,,,,,,,,False,Член СД,0.0,0.0
AQUA,Благирев Алексей Павлович,,,,,,,,,,,False,Член СД,0.0,0.0
AQUA,Василенко Анна Геннадьевна,,,,,,,,,,,False,Член СД,0.0,0.0
AQUA,Марченко Андрей Александрович,,,,,,,,,,,False,Член СД,0.0,0.0
ASTR,Сивцев Илья Игоревич,,,,,,,,,,,False,CEO+Член СД,0.0,0.0
ASTR,Прянишников Николай Николаевич,,,,N,N,N,N,N,N,,False,Первый зам. ген. дир. Исполнительный директор,6.0,63.91511932854698
ASTR,Фролов Денис Владимирович,,,,,,,,,,,False,Председатель СД,0.0,0.0
BANEP,Стрельцов Тимофей Михайлович,,,,,,,,,,,True,CEO,0.0,0.0
BELU,Прохоров Константин Анатольевич,,,,,,,,,,,True,Председатель правления,0.0,0.0
BELU,Белокопытов Николай Владимирович,,,,,,,,,,,False,Председатель СД+CFO,0.0,0.0
BELU,Гукасян Мелине Генриковна,,,,,,,,,,,False,Член СД,0.0,0.0
BELU,Иконников Александр Вячеславович,,,,,,,,,,,False,Член СД,0.0,0.0
BELU,Купцов Сергей Александрович,,,,,,,,,,,False,Член СД,0.0,0.0
BELU,Крачковский Александр Борисович,,,,,,,,,,,False,Член СД,0.0,0.0
BELU,Мечетин Александр Анатольевич,,,,,,,,,,,False,Член СД,0.0,0.0
BELU,Молчанов Сергей Витальевич,,,,,,,,,,,False,Член СД+Операционный директор,0.0,0.0
BELU,Ордовский-Танаевский Бланко Ростислав,,,,,N,N,N,N,N,,False,Член СД,5.0,58.85190554114832
BSPB,Савельев Александр Васильевич,,,,,,,,,,,True,CEO+Председатель правления,0.0,0.0
BSPB,Иванникова Елена Викторовна,,,,,,,,,,,False,Председатель СД,0.0,0.0
CBOM,Маликова Дина Ринатовна,,,,,,,,,,,True,Председатель правления,0.0,0.0
CHMF,Шевелёв Александр Анатольевич,,,N,N,N,N,N,N,W,N,False,CEO+Член СД,9.0,75.63041955164012
CHMF,Мордашов Алексей Александрович,,,,,,,,,,,False,Председатель СД,0.0,0.0
CHMK,Капнин Владимир Викторович,,,,,,,,,,,True,CEO,0.0,0.0
CIAN,Григорьев Дмитрий Константинович,,,,,,,,,,N,False,CEO+Член СД,1.0,22.7670248696953
CIAN,Мельников Максим Анатольевич,,,,,,,,,,,False,Председатель СД,0.0,0.0
DATA,Пустовой Максим Владимирович,N,,,,,,,,,,True,CEO,1.0,22.7670248696953
DATA,Жуков Андрей,,,,,,,,,,,False,CFO,0.0,0.0
DATA,Бушуева Екатерина,,,,,,,,,,,False,IRO,0.0,0.0
DATA,Гревцев Виктор Викторович,,,,,,,,,,,False,Руководитель подразделения внутреннего аудита,0.0,0.0
DATA,Муницына Мария Анатольевна,,,,,,,,,,,False,Руководитель подразделения внутреннего контроля и управления рисками,0.0,0.0
DELI,Бехтина Елена Александровна,,,,,,,,,,N,True,CEO,1.0,22.7670248696953
DELI,Лойко Михаил,,,,,,,,N,N,,False,CFO,2.0,36.08488067145302
DELI,Белотуркин Александр,,,,,,,,,,,False,CTO,0.0,0.0
DELI,Коновальчук Виталий,,,,,,,,,,,False,"CXO, CHRO",0.0,0.0
DELI,Чарухин Денис Юрьевич,,,,,,,,,,,False,Председатель СД,0.0,0.0
DELI,Алгульян Даниил Валерьевич,,,,,,,,,,,False,Член СД,0.0,0.0
DELI,Артюх Константин Юрьевич,,,,,,,,,,,False,Член СД,0.0,0.0
DELI,Гюванч Донмез,,,,,,N,N,N,,,False,Член СД,3.0,45.5340497393906
DELI,Меликян Артур Борисович,,,,,,,,,,,False,Член СД,0.0,0.0
DELI,Полещук Ярослав Николаевич,,,,,,,,,,,False,Член СД,0.0,0.0
DELI,Саволайнен Ольга Викторовна,,,,,,,,,,,False,Член СД,0.0,0.0
DELI,Садовин Владимир Альбертович,N,N,N,N,,,,,,,False,Член СД,4.0,52.863394681944804
DELI,Чораян Григорий Ованесович,,,,,,,,,,,False,Член СД,0.0,0.0
DIAS,Глазков Александр Валериевич,,,,,,,,,,,True,"CEO, член СД",0.0,0.0
DIAS,Ляшков Александр Анатольевич,,,,,,,,,,,False,Член Ревизионной комиссии,0.0,0.0
DIAS,Лебедев Дмитрий Владимирович,,,,,,,,,,,False,Член Ревизионной комиссии,0.0,0.0
DIAS,Бабкин Алексей Анатольевич,,,,,,,,,,,False,Член Ревизионной комиссии,0.0,0.0
DIAS,Бочкарев Сергей Викторович,,,,,,,,,,,False,Председатель СД,0.0,0.0
DIAS,Таскаева Татьяна Петровна,,,,,,,,,,,False,Руководитель по работе с инвесторами и акционерами,0.0,0.0
DIAS,Клишина Екатерина Александровна,,,,,,,,,,,False,Руководитель подразделения внутреннего аудита,0.0,0.0
DVEC,Кимерин Владимир Анатольевич,,,,,,,,,,,True,CEO,0.0,0.0
DVEC,Власов Алексей Валерьевич,,,,,,,,,,,False,Председатель СД,0.0,0.0
DVEC,Бельченко Антон Леонидович,,,,,,,,,,,False,Член СД,0.0,0.0
DVEC,Борисенко Вера Валентиновна,,,,,,,,,,,False,Член СД,0.0,0.0
DVEC,Кабанова Лариса Владимировна,,,,,,N,,,,,False,Член СД,1.0,22.7670248696953
DVEC,Коптяков Станислав Сергеевич,,,,N,N,N,N,N,N,N,False,Член СД,7.0,68.3010746090859
DVEC,Осенкова Ксения Геннадьевна,,,,,,,,,,,False,Член СД,0.0,0.0
DVEC,Сорокин Роман Юрьевич,,,,,,,,,,,False,Член СД,0.0,0.0
DVEC,Стороженко Виталий Анатольевич,,,,,,,,,,,False,Член СД,0.0,0.0
DVEC,Тюльпанов Евгений Викторович,,,,,,,,,,,False,Член СД,0.0,0.0
DVEC,Ажимов Олег Евгеньевич,,,,,,,,,,,False,Председатель Ревизионной комиссии,0.0,0.0
DVEC,Доланова Елена Федоровна,,,,,,,,,,,False,Член Ревизионной комиссии,0.0,0.0
DVEC,Меделец Светлана Юрьевна,,,,,,,,,,,False,Член Ревизионной комиссии,0.0,0.0
DVEC,Коломиец Владимир Александрович,,,,,,,,,,,False,Член Ревизионной комиссии,0.0,0.0
DVEC,Дьяченко Ксения Юрьевна,,,,,,,,,,,False,Член Ревизионной комиссии,0.0,0.0
ELFV,Тналин Алибек Айбекович,,,,,,,,,,,True,CEO,0.0,0.0
ELFV,Атцени Москвитин Матвей Владимирович,,,,,,,,,,,False,Член Правления,0.0,0.0
ELFV,Верещагин Михаил Игоревич,,,,,,,,,,,False,Член Правления,0.0,0.0
ELFV,Косменюк Олег Николаевич,,,,,,,,,,,False,Член Правления,0.0,0.0
ELFV,Леонова Нина Васильевна,,,,,,,,,,,False,Член Правления,0.0,0.0
ELFV,Седова Жанна Игоревна,,,,,,,,,,,False,Член Правления,0.0,0.0
ELFV,Рачкин Сергей Владимирович,,,,,,,,,,,False,Член Правления,0.0,0.0
ELFV,Рожина Лариса Николаевна,,,,,,,,,,,False,Руководитель подразделения внутреннего аудита,0.0,0.0
ELFV,Юзефович Елена Константиновна,,,,,,,,,,,False,Руководитель подразделения внутреннего контроля и управления рисками,0.0,0.0
ENPG,Колмогоров Владимир Васильевич,,,,,,,,,,,True,CEO,0.0,0.0
ENPG,Малевинская Анна Александровна,,,,,,,,,,N,False,CFO,1.0,22.7670248696953
ENPG,Погосбеков Давид Дешенович,,N,,,,,,,N,N,False,Директор по коммерции,3.0,45.5340497393906
ENPG,Данилов Александр,,,,,,,,,,N,False,Директор по правовым вопросам,1.0,22.7670248696953
ENPG,Конопацкий Виктор,,,,,,,,,,N,False,Директор по связям с государственными органами,1.0,22.7670248696953
ENPG,Санарова Ольга,,,N,N,N,N,N,N,N,N,False,Директор по связям с общественностью,8.0,72.16976134290604
ENPG,Бахтина Ирина,N,N,W,N,N,N,,W,,,False,Директор по устойчивому развитию,9.0,75.63041955164012
ENPG,Кристофер Бернэм,,,,,,,,,,,False,Председатель СД,0.0,0.0
ENPG,Галенская Людмила Петровна,,,,,,,,,,,False,Член СД,0.0,0.0
ENPG,Тэргуд Маршалл Мл.,,,,,,,,,,,False,Член СД,0.0,0.0
ENPG,Джеймс У. Рэйдер,,,,,,,,,,,False,Член СД,0.0,0.0
ENPG,Фокина Жанна Сергеевна,,,,,,,,,,,False,Член СД,0.0,0.0
ENPG,Шаронов Андрей Владимирович,,,,,,N,,,,,False,Член СД,1.0,22.7670248696953
ENPG,Джеймс Шваб,,,,,,,,,,,False,Член СД,0.0,0.0
ENPG,Яновский Андрей Владимирович,,,,,,,,,,,False,Член СД,0.0,0.0
ENPG,Гераскин Вадим Викторович,N,,,,,,,,,,False,Член СД,1.0,22.7670248696953
ENPG,Горбатова Анастасия Владимировна,,,,,,,,,,,False,Член СД,0.0,0.0
ENPG,Плугарь Андрей Георгиевич,,,,,,,,,,,False,Член СД,0.0,0.0
ENPG,Филина Ольга Владимировна,,,,,,,,,,,False,Член СД,0.0,0.0
ETLN,Бузулуцкий Михаил Игоревич,,,,,,,,,,,True,"CEO, член СД",0.0,0.0
ETLN,Егоров Сергей Валерьевич,,,,,,,,,,,False,Председатель СД,0.0,0.0
ETLN,Щербина Геннадий Филиппович,,,,,N,N,N,N,N,,False,Член СД,5.0,58.85190554114832
ETLN,Волошин Александр Стальевич,,,,,,,,,,,False,Член СД,0.0,0.0
