feature,std,conflict,information,weight
education_bachelor_or_higher,0.46645730520854484,16.408793744883877,7.65400171196136,0.07907875294314384
education_master_or_higher,0.4800030524933465,16.245263461558213,7.797776050106571,0.08056418445905028
education_doctoral,0.4279604925109129,17.1141501166084,7.324180112809428,0.07567113928741542
has_mba_emba,0.38682515382753957,19.57427913065859,7.571823535780206,0.07822971371685364
has_foreign_education,0.4279604925109129,19.844164394794344,8.49251836786371,0.08774204490023713
has_professional_retraining,0.21398024625545645,19.670930145739216,4.20919047665916,0.04348804015475819
has_law_education,0.307715200613562,19.986582789191125,6.150175332555513,0.0635416889076638
has_economics_education,0.5018281596637456,17.676762311903673,8.870697099796077,0.09164926933475684
publications_count,0.004142604514212304,18.11792955603009,0.07505541676699078,0.0007754491026943636
has_research_experience,0.37013016223531015,17.26547153678298,6.390471780978613,0.06602435669283939
research_experience_years,0.08709548042592516,18.69755508279215,1.6284725427259812,0.016824869228820896
patents_count,0.03109715368056966,18.982164226697964,0.5902912781474383,0.006098704952752372
experience_years_same_sector,0.21116066830455865,15.542493279287292,3.281963267973416,0.03390821849842996
experience_years_same_industry,0.2062675357304108,15.560261416211727,3.209576777642985,0.0331603439093355
experience_years_same_industry_group,0.21005309714999115,15.35487165583838,3.2253383476494646,0.03332318752336169
professional_experience_years,0.1462117486998752,15.83123829278165,2.3147130348720317,0.02391489146558009
has_experience_same_sector,0.1373479845664612,17.17963083876444,2.359587671300119,0.02437852218073455
has_experience_same_industry,0.1373479845664612,17.17963083876444,2.359587671300119,0.02437852218073455
has_experience_same_industry_group,0.1373479845664612,17.17963083876444,2.359587671300119,0.02437852218073455
has_other_company_management,0.39456007866693216,19.60655890001848,7.735965421979131,0.07992557637207902
current_company_experience_years,0.18104398105687766,17.61250007110322,3.1886371292370677,0.032944002008023915
