ticker,name,yandex_count,is_ceo,source_positions,media_score
ASTR,Фролов Денис Владимирович,1045.0,False,Председатель СД,60.390581236295
DVEC,Власов Алексей Валерьевич,1045.0,False,Председатель СД,60.390581236295
RUAL,Natalia Albrecht,1042.0,False,Director/Board Member,60.36563373586952
TTLK,Фролов Дмитрий Александрович,1042.0,False,Заместитель генерального директора ПАО «Таттелеком» по техническим вопросам с ноября 2024 года,60.36563373586952
GLTR,Сторожев Александр Валентинович,1040.0,False,Член СД,60.3489621720303
SFIN,Sidorov Igor Anatolyevich,1038.0,False,Director/Board Member,60.332258547471625
ZAYM,Сныткин Алексей Викторович,1030.0,False,"член Совета директоров, заместитель директора по управлению рисками и внутреннему контролю",60.26512096031309
TGKA,Маркелов Виталий Анатольевич,1027.0,False,Председатель Совета директоров (состав избран 24.06.2024),60.239809969812626
MTSS,Polina Ugryumova,1020.0,False,Investor Relations Contact,60.18046256991393
WUSH,Лаврентьев Сергей Владимирович,1019.0,False,Член Совета директоров ПАО «ВУШ Холдинг»; заместитель генерального директора ООО «ВУШ» по взаимодействию с органами власти,60.17195117080695
LSNGP,Мельникова Светлана Анатольевна,1019.0,False,Член СД,60.17195117080695
LSRG,Кутузов Дмитрий Владимирович,1008.0,True,"Генеральный директор, Член СД",60.07777114211013
TGKA,Ведерчик Вадим Евгеньевич,1007.0,False,Член Совета директоров; Управляющий директор (CEO),60.0691584670429
KAZT,Туманов Сергей Александрович,1007.0,False,Член СД,60.0691584670429
UPRO,Кирпичников Михаил Петрович,1005.0,False,Член Совета директоров ПАО «Юнипро»,60.05190745423491
ENPG,Галенская Людмила Петровна,999.0,False,Член СД,59.99994788496801
SOFL,Дмитрий Васильев,999.0,False,Директор управления информационной безопасности,59.99994788496801
NKNC,Василий Петрович Номоконов,997.0,False,Член совета директоров,59.98255872581939
MRKU,Мария Геннадьевна Тихонова,994.0,False,Член совета директоров,59.95640953769926
MRKV,Aleksey Molskiy,987.0,False,Director/Board Member,59.89508686780124
YDEX,Антон Сычёв,987.0,False,Неисполнительный директор,59.89508686780124
VSMO,Ледер Михаил Оттович,987.0,False,Директор по науке и технологии — начальник НТЦ ВСМПО,59.89508686780124
SPBE,Pavel Krupnov,985.0,False,Director of Finance/CFO,59.87748629016049
RASP,Игорь Богачев,984.0,True,независимый член совета директоров; генеральный директор,59.86867260894393
MDMG,Лукина Татьяна Борисовна,982.0,False,Член СД,59.85101837096861
AFKS,Евтушенков Феликс Владимирович,980.0,False,Первый вице-президент + Член СД,59.8333281772903
GAZP,Садыгов Фамил Камиль оглы,970.0,False,Член Правления,59.74433270515152
EUTR,Дорошенко Николай Николаевич,969.0,False,Член СД,59.73538280009007
DVEC,Кимерин Владимир Анатольевич,968.0,True,CEO,59.72642366356225
NKNC,Петр Орлов,957.0,False,Заместитель генерального директора по капитальному строительству,59.627258390251264
TATN,Минниханов Рустам Нургалиевич,953.0,False,"Председатель Совета директоров (состав, действовавший после 27.06.2024)",59.59091573432896
MRKC,Igor Vladimirovich Makovsky,949.0,False,Director/Board Member,59.55442037772331
RUAL,Victor Mann,945.0,False,Chief Tech/Sci/R&D Officer,59.51777103181526
TGKB,Ушаков Александр Владимирович,940.0,False,Член Совета директоров (избран 11.06.2024),59.47174081230568
FEES,Ульянов Антон Сергеевич,936.0,False,Руководитель подразделения внутреннего аудита,59.434740193654285
TGKB,Дьяконов Владимир Евгеньевич,935.0,False,Правление: член Правления (до 01.08.2024); директор по ресурсообеспечению и логистике (до 31.07.2024),59.42546535871679
LSRG,Кудимов Юрий Александрович,928.0,False,Член СД,59.36026272046154
OGKB,Коробкина Ирина Юрьевна,925.0,False,неисполнительный,59.332168198629866
OGKB,Семиколенов Артем Викторович,925.0,False,исполнительный,59.332168198629866
OZPH,Рустем Терегулов,922.0,False,"Член СД, независимый директор",59.303982509991066
TRNFP,Корсик Александр Леонидович,921.0,False,"Независимый директор, член Совета директоров ПАО «Транснефть»",59.29456691872366
SVCB,Regina von Fleming,919.0,False,Director/Board Member,59.2757050609453
AGRO,Липатов Тимур Владимирович,917.0,True,CEO,59.25680215447781
YDEX,Александр Ганьшин,912.0,False,Генеральный директор Яндекс Погоды; генеральный директор Яндекс Пробок,59.209364122342876
OZPH,Павел Алексенко,911.0,False,председатель совета директоров,59.199845346493085
TRMK,Шматович Владимир Владимирович,909.0,False,Член Совета директоров ПАО «ТМК»,59.1807764429096
DVEC,Бельченко Антон Леонидович,907.0,False,Член СД,59.16166558350883
PHOR,Гильгенберг Александр Александрович,902.0,True,генеральный директор,59.11370366101623
VTBR,Бортников Денис Александрович,899.0,False,Заместитель Президента – Председателя Правления Банка ВТБ (ПАО); руководитель блока «Средний и малый бизнес»,59.08479886863887
ASTR,Прянишников Николай Николаевич,894.0,False,Первый зам. ген. дир. Исполнительный директор,59.03640942820094
MGNT,Yuri Misnik,893.0,False,Chief Tech/Sci/R&D Officer,59.02669910623528
IVAT,Терентьев Евгений Викторович,891.0,False,Член СД,59.00724583473621
MOEX,Sergey Anatolyevich Shvetsov,883.0,False,Chairman,58.928994115443444
UPRO,Артемьев Игорь Юрьевич,882.0,False,Председатель Совета директоров ПАО «Юнипро»; независимый директор,58.9191628952726
PIKK,Илья Баландин,874.0,False,член совета директоров; директор департамента венчурных инвестиций,58.84010995283167
UPRO,Шишкин Андрей Николаевич,870.0,False,Член Совета директоров ПАО «Юнипро»,58.80031202710653
POLY,Janat Berdalina,870.0,False,Independent Non-Executive Director,58.80031202710653
POSI,Денис Иванович Кораблев,867.0,False,член совета директоров,58.770343456513345
MGNT,Bobrova Anna Nikolayevna,865.0,False,Human Resources Officer,58.75030681073396
TRNFP,Шоцкий Сергей Александрович,861.0,False,Член Правления ПАО «Транснефть»; вице-президент ПАО «Транснефть»,58.71009432180923
TTLK,Камалетдинов Тимур Русланович,858.0,False,Генеральный директор ООО «ТТК Диджитал» с апреля 2024 года,58.67981230824232
WUSH,Еремин Антон Валентинович,854.0,False,Член Совета директоров ПАО «ВУШ Холдинг»; первый заместитель генерального директора ООО «ВУШ»,58.63927136139416
POLY,Richard Sharko,852.0,False,Independent Non-Executive Director,58.618929707849624
SELG,Aleksandr Ammosov,850.0,False,Director/Board Member,58.59854030390085
LSRG,Осипов Юрий Сергеевич,850.0,False,Член СД,58.59854030390085
UPRO,Павлов Алексей Юрьевич,847.0,False,Член Совета директоров ПАО «Юнипро»,58.56786617398644
YDEX,Светлана Ячевская,839.0,False,Председатель совета директоров; независимый директор,58.48553492160145
RNFT,Olga Prozorovskaya,836.0,False,Director/Board Member,58.454458387221614
OZPH,Галина Кремер,833.0,False,Директор по финансам. член СД,58.42327026720072
TGKA,Земляной Евгений Николаевич,832.0,False,Член Совета директоров (состав избран 24.06.2024),58.412849291633194
FEES,Харитонов Владимир Вячеславович,831.0,False,Член Правления,58.40241579837429
SBER,Larisa Zalomikhina,829.0,False,Compliance Officer,58.38151113823875
TGKB,Медведева Елена Анатольевна,829.0,False,Член Совета директоров (избрана 11.06.2024),58.38151113823875
FIVE,Лобачева Екатерина Владимировна,828.0,False,Президент,58.3710399108179
RNFT,Sergei Karpenko,827.0,False,Corporate Officer/Principal,58.36055604461616
NKHP,Oleg Soldatenkov,827.0,False,Director/Board Member,58.36055604461616
MTSS,Nadia Shouraboura,826.0,False,Director/Board Member,58.35005950908661
TRNFP,Шмаль Геннадий Иосифович,825.0,False,"Независимый директор, член Совета директоров ПАО «Транснефть»; президент Союза нефтегазопромышленников России",58.339550273571476
MOEX,Aleksandr Mikhailovich Kamenskiy,820.0,False,Corporate Secretary,58.286812515359856
EUTR,Алексеенков Олег Олегович,818.0,True,"CEO, член СД",58.26562742658046
IRAO,Миловидов Владимир Дмитриевич,817.0,False,Член СД,58.25501547401592
SFIN,Vlasov Maxim Alexandrovich,816.0,False,Director/Board Member,58.24439054046643
PIKK,Иван Поландов,813.0,True,генеральный директор,58.21243753535604
PIKK,Кирилл Таченников,813.0,False,член совета директоров; глава исследований,58.21243753535604
TATN,Хисамов Раис Салихович,813.0,False,Член Совета директоров (избран 27.06.2024),58.21243753535604
ENPG,Филина Ольга Владимировна,812.0,False,Член СД,58.2017603587274
DATA,Муницына Мария Анатольевна,811.0,False,Руководитель подразделения внутреннего контроля и управления рисками,58.191070040955
IRAO,Бугров Андрей Евгеньевич,809.0,False,Член СД,58.169649852309725
BELU,Прохоров Константин Анатольевич,809.0,True,Председатель правления,58.169649852309725
HYDR,Исаков Александр Юрьевич,808.0,False,Член СД,58.15891991630203
NMTP,Киреев Сергей Георгиевич,808.0,True,Генеральный директор,58.15891991630203
LEAS,Мизюра Сергей Николаевич,804.0,True,Генеральный директор,58.11586712880895
UPRO,Казарин Дмитрий Иванович,803.0,False,Директор филиала «Березовская ГРЭС» ПАО «Юнипро»,58.10507050579838
GEMC,Шмелев Дмитрий Сергеевич,799.0,False,"CFO, Председатель СД",58.061749308296356
TATN,Гайзатуллин Радик Рауфович,799.0,False,Член Совета директоров (избран 27.06.2024),58.061749308296356
MVID,Владислав Сергеевич Бакальчук,793.0,True,Генеральный директор,57.99635967379585
BELU,Мечетин Александр Анатольевич,788.0,False,Член СД,57.9414897371015
