measure,companies,spearman,kendall_tau_b,mean_abs_rank_shift,max_abs_rank_shift,top_k_jaccard
media_score,78,0.5412975714113903,0.408992511915792,16.012820512820515,70.0,0.17647058823529413
awards_score,91,0.5882351862340698,0.4886675331769794,18.406593406593405,48.5,0.5
expertise_score,105,0.46167323242794933,0.33150183150183143,24.323809523809523,92.0,0.42857142857142855
face_score,43,0.6146411451505529,0.4498615648838789,8.0,26.0,0.25
communication_score,83,1.0,0.9999999999999999,0.0,0.0,1.0
index_equal,28,0.5610290093048714,0.4126984126984127,5.857142857142857,17.0,0.42857142857142855
index_critic,28,0.6053639846743295,0.4232804232804233,5.357142857142857,16.0,0.42857142857142855
