ticker,equal4,critic4
ABIO,50.175157226301025,53.58750308013603
AFLT,47.380654029179745,51.81536956170114
AGRO,56.51317410460728,58.741592611518456
ALRS,50.465486514512016,53.99036779372099
APTK,68.48316677569208,74.38598719800385
AQUA,49.592079691418064,53.45447434329282
ASTR,52.83712025226419,57.776713287343085
CBOM,39.892649132081424,39.70175013019867
CIAN,52.95108025433586,56.972839657403476
DATA,49.70602871535591,53.13593760727424
DELI,52.954800833501615,56.79163280469768
ENPG,53.48059626155533,57.48370145966678
ETLN,52.48726024343786,56.661854569779514
EUTR,49.67470944629993,53.491374762683996
FEES,49.580133738147005,54.30086693591141
FESH,51.25901057656402,54.88165574230604
FIVE,61.36981642997627,64.4290991467338
FIXP,46.93465052920071,50.75658297339858
GAZP,51.24924419763693,54.93851200483925
GEMC,44.519754498234064,48.19865197847576
GLTR,41.6693757356193,39.35812145380634
GMKN,54.424277367939325,60.50161610368403
HEAD,53.26932784434997,56.91064982804186
HNFG,49.182671712119166,52.398460516137725
HYDR,40.51864893474308,46.20500902928329
IRAO,51.18240280554049,55.747767896008085
IVAT,47.73012995629444,51.559073455632955
KAZT,51.752014998216026,55.853142631431574
LSNGP,47.11327904197407,51.85932871833236
MGTSP,54.23295782295446,57.918186807566585
MOEX,52.8158400686567,57.27815555048792
MRKC,48.48974471281423,52.32041506398502
MRKP,48.93016139407682,52.488816155245544
MRKU,46.16672597221465,51.44771001979962
MRKV,49.33785898283396,53.343841977351566
MRKZ,49.86685910212988,53.92169794103342
MSRS,47.63893400508795,51.966932120864804
MTSS,55.03793484728552,59.3894664448526
MVID,45.52168100899745,49.7461904832121
NKNC,51.55456010323528,55.167400450295986
NLMK,50.61053434768941,55.415140388322335
OZPH,45.33006449566529,49.461780047045636
PHOR,44.57473054476508,49.26756696804614
PIKK,44.692369456285775,49.074522860011285
POSI,19.617324062759806,14.57703154808591
PRMD,48.7503000264478,52.62818923619123
RENI,57.945891721257105,63.522591917012086
RNFT,46.467429400898816,50.715214068129235
ROSN,47.023420480520386,50.79035542537598
RUAL,48.94352324202108,53.16230670513795
SBER,39.088195661050726,38.273691177007926
SELG,39.84339533753031,45.69749954954913
SGZH,52.313339790790735,57.798778419915365
SMLT,45.635500246739774,50.36106615576883
SOFL,47.19445323659515,51.18560747542632
SPBE,47.26617406664418,50.972736518004666
SVCB,48.58291790443213,52.205420908637024
TATN,46.378649964772286,50.14807187964825
TRNFP,43.39231366394499,48.09684452421067
TTLK,42.985814647399636,47.351227291793386
UGLD,43.42860131831298,48.229596604868654
VSEH,41.9782630993284,46.91147651716565
VTBR,44.20179998811158,48.966941106987974
YDEX,43.595873158004004,47.97355722356108
