ticker,equal4,critic4
ABIO,50.064179481281734,60.50931622680101
AFLT,51.92115738589078,60.99646216542042
AGRO,55.19670187914421,64.64427760011257
AKRN,54.20327016749067,63.89584395399375
ALRS,51.28464862969556,61.22480998589319
APTK,75.29967771074645,81.5356049365636
AQUA,52.18364570672796,61.855499638925274
ASTR,57.12041822675997,66.20077338300754
CBOM,44.77239094934527,44.859857909184164
CIAN,55.610792663168986,64.82452167791928
DATA,49.19596441464528,59.594325706143536
DELI,53.75539829233746,63.63235837091112
DIAS,49.26132734392768,59.74331896583256
DVEC,47.999704459573714,58.55819892601628
ELFV,49.301287854752196,59.60200861362171
ENPG,54.54430558050256,64.28191738406893
ETLN,55.23373359523437,64.79608014567467
EUTR,51.85013153439297,61.674776412562025
FEES,53.36327212871992,63.102338166586726
FESH,52.844967435008805,62.716964219852066
FIVE,58.79006263689139,68.54489743853979
FIXP,49.90880002523823,59.29328245381592
GAZP,54.4495780201247,63.44829917112128
GEMC,42.73360530363916,54.373643526572614
GLTR,37.17763582506806,38.86751771788063
GMKN,61.96559445218745,70.09898334336671
HEAD,52.79815610934341,63.003413897115244
HNFG,48.07043838824985,58.74591784828424
HYDR,45.393315741723036,56.38712107376094
IRAO,55.54613806748336,64.67575521686629
IVAT,50.544171836429655,60.03118139587001
KAZT,53.62977413705509,63.51145174795298
KZOS,53.988177291840735,63.06317186091908
LEAS,57.73767819823252,66.93712446650063
LENT,63.668635039143325,71.90184322730286
LSNGP,51.90734821765554,61.45620425026983
MAGN,33.76902372501295,23.541619842066293
MBNK,56.66928049317808,66.1705849693965
MDMG,55.69821466353518,65.55331587494274
MGNT,54.84361059754848,63.747540191916265
MGTSP,51.9325831129672,63.06845584502558
MOEX,54.51538026232659,64.3075806246364
MRKC,45.88672902636573,58.215219232646035
MRKP,45.505986622201114,57.87838359724227
MRKU,46.876987095254854,59.077826662126334
MRKV,47.203896126455604,59.12313831712339
MRKZ,48.69217910854435,60.3252291449361
MSRS,48.686384595269416,59.71277994336683
MTLR,26.792208322416773,18.54802962715748
MTSS,59.575742210409,67.44670470292291
MVID,44.19335754519022,55.991035025906875
NKNC,50.188003062584954,60.8731502277934
NLMK,55.08095468064344,64.16299095690216
NMTP,39.0900459479335,51.85825859026979
NVTK,50.484271869901384,60.56233646986649
OZPH,47.816461921215435,57.79621548581994
PHOR,46.03979895354574,56.957226312646746
PIKK,46.58179650458347,56.982588006884946
POSI,18.897866435519706,12.021228148625122
PRMD,52.331784570613806,61.346323208610954
RENI,62.31233701522982,70.41139741371907
RNFT,48.211953654839455,58.84442697348851
ROSN,48.101807132363525,58.30068678901361
RTKM,51.94119852125589,61.70687802261086
RUAL,46.602168899006266,58.94550011271685
SBER,44.157264567590126,42.505192777864075
SELG,45.77705902319384,56.45055883948038
SFIN,48.35691781696283,58.93953385564292
SGZH,56.9603629339485,65.73457926648074
SMLT,52.17209600362291,60.71010678862672
SOFL,48.91977671241149,58.95993380374344
SPBE,47.02383803507574,57.77144291418732
SVCB,48.724394048650375,59.215445809906974
TATN,46.39342461976844,57.24282070995594
TGKB,45.58238927949893,56.153789940557054
TRNFP,46.46951584519421,56.71094467998641
TTLK,44.50060885791285,55.38322640444946
UGLD,47.052213873038674,57.4624103030283
VSEH,45.04642400122982,55.73685608332279
VTBR,47.23758342325457,57.34132549109297
WUSH,46.895973018656214,57.871043698305215
YDEX,46.4661603964771,56.458662989635464
ZAYM,46.67970684433699,57.03412937298707
