ticker,equal4,critic4
ABIO,42.90621320265841,41.6875343106075
AGRO,54.53124196962986,52.16486105772221
AKRN,68.05419835954966,71.43020127687787
ALRS,52.31040256914879,49.683646725408465
AQUA,52.585923333284626,49.62882933501828
DATA,59.07883204587154,58.3332216185819
DELI,53.13117496649081,53.57001079035043
DIAS,55.38840073656588,53.3887866241616
DVEC,52.88729008038392,50.52832804680661
ELFV,47.03342354945452,45.47925410673399
ENPG,51.772247542514,49.92757154673287
ETLN,56.25670514640131,53.548408183398124
EUTR,51.5637648920039,49.45124458962009
FEES,56.48205038908518,52.901968603246544
FIVE,64.75854396186331,66.83651830027036
FIXP,54.1155888605222,50.5121786263961
GAZP,54.695980189920654,50.59305747827092
GEMC,53.5345656129358,51.82107071399222
HEAD,64.47559842133,67.63493688897523
HNFG,43.8053698220618,43.12117283130799
HYDR,52.71477467095207,49.96225388126635
IRAO,51.847264941345536,48.79671045199952
IVAT,54.69578693590408,50.08605681118598
KAZT,54.374077306710156,51.7863460771401
KZOS,53.05905267211497,50.12186073641356
LEAS,56.70133380737723,56.57848607950944
LENT,62.83036563987711,64.33863266117999
LSNGP,52.73506313602591,50.05747230607176
MAGN,49.29747728476581,45.8539512283737
MBNK,55.73708776395606,53.586742029399836
MDMG,61.922176928110694,62.36828123967992
MGTSP,49.34422779834628,48.110558814325366
MOEX,63.49728472259171,63.39894907129431
MRKP,50.22881566091415,48.41907625089911
MRKU,46.491009025969575,46.14760741730951
MRKV,57.5593334718303,53.24206444531791
MRKZ,48.305473582110395,46.771350231645826
MTLR,25.932593976369095,18.631171608578576
MVID,55.1334669831348,52.90669826685676
NKNC,58.48896258477768,52.98235088544418
NLMK,56.8063521918025,57.863456655095405
NMTP,42.416030557885776,40.700471901562686
NVTK,60.47533026435066,56.59835690010091
PHOR,49.71353408899829,48.405202915619284
PIKK,43.47766409639053,41.897299590340076
PRMD,54.52030564163158,50.827285447278456
RENI,61.539600158569094,63.49145517191555
RTKM,57.11300429466891,53.11322255371792
SMLT,51.00942430903969,48.35750573281771
SOFL,51.908937833962824,48.69633322056642
SPBE,39.69579397632168,39.137000807301256
TATN,48.83868406547357,45.12709580876599
TRNFP,49.20555741590149,46.10400992782986
TTLK,55.31405136432288,52.127587640811576
VSEH,43.78235014165206,42.067181216127715
VTBR,53.19895281114624,49.152787845660924
WUSH,44.72904706198109,43.38211435980161
YDEX,43.389468528462714,41.31555376473788
ZAYM,43.09999327936127,40.75250865866676
