sample,family,scenarios,undefined_spearman,spearman_min,spearman_p05,spearman_median,spearman_p95,share_spearman_below_09,share_spearman_below_08,kendall_median,mean_abs_shift_median,max_abs_shift_p95,top10_jaccard_median
all_managers,dirichlet_10,1000,0,0.8612637362637362,0.9283699633699632,0.9794871794871793,0.9957921245421243,0.017,0.0,0.8938492063492063,2.6875,30.0,0.8181818181818182
all_managers,dirichlet_1,1000,0,0.20650183150183146,0.5556410256410257,0.8390567765567765,0.970212912087912,0.716,0.381,0.679563492063492,7.375,59.0,0.5384615384615384
all_managers,dirichlet_0.2,1000,0,0.04189560439560439,0.16309065934065933,0.6464285714285714,0.8696794871794871,0.971,0.877,0.488095238095238,11.375,61.0,0.3333333333333333
all_managers,one_at_a_time,105,0,0.039926739926739924,0.30528388278388274,0.9047619047619045,0.9990384615384613,0.4857142857142857,0.38095238095238093,0.761904761904762,5.9375,61.0,0.6666666666666666
ceo,dirichlet_10,1000,0,0.7515051997810619,0.9386973180076628,0.9786535303776682,0.9934318555008209,0.015,0.002,0.8994708994708994,1.1428571428571428,10.0,0.8181818181818182
ceo,dirichlet_1,1000,0,0.41817186644772847,0.6310892172961139,0.8853311439518337,0.9731800766283524,0.565,0.278,0.7248677248677248,2.857142857142857,20.0,0.6666666666666666
ceo,dirichlet_0.2,1000,0,0.3420908593322386,0.39187192118226594,0.6956759715380404,0.9212370005473454,0.915,0.715,0.5079365079365079,4.857142857142857,21.0,0.5384615384615384
ceo,one_at_a_time,105,1,0.3528123750023377,0.5080459770114942,0.963327859879584,0.9999999999999998,0.36538461538461536,0.27884615384615385,0.8756613756613756,1.3571428571428572,20.0,0.8181818181818182
