component,point,mean,std,p025,median,p975
media_score,0.12939387570640962,0.1339841138814013,0.02187812142718085,0.09915105466967662,0.1314932405932808,0.1821702151975865
awards_score,0.22400900296729223,0.22472610231725423,0.043525538854785266,0.14127733719725616,0.2233809947007102,0.3063231984773224
expertise_score,0.2052964125044532,0.21304359678247692,0.03314639597355624,0.15683939937059965,0.2104577643121095,0.28465354007721977
face_score,0.1421383594943864,0.14556030711706694,0.019676240414306618,0.11382384831414197,0.14345008474372922,0.1905442655661488
communication_score,0.29916234932745844,0.28268587990180055,0.06956070056174102,0.14575630637264778,0.29256409031449676,0.3895969366996349
