,count,mean,std,min,5%,25%,50%,75%,95%,max
equal,64.0,50.097173842296186,5.442583752948378,25.00509796497233,43.31043290599599,47.30952663835224,50.458368930742395,53.01821854294387,57.698306833889966,68.09759181838398
critic,64.0,53.13581315558834,6.587302883647025,19.086421466988153,43.79974549491614,50.629960671717534,53.2093773940593,56.59401762244736,60.850597597810214,73.10488544970237
