ticker,equal4,critic4
ABIO,31.29060073412258,21.537861307828244
AGRO,45.66191473371238,36.1070077435023
ALRS,41.28353267852285,31.69997518991713
AQUA,42.73510786256149,32.430906914736134
BELU,37.01683600561827,28.187763663831156
DATA,48.41567961923909,42.35192203168631
DELI,43.02331045730856,36.871848633644994
ETLN,45.8591625412258,36.79805603375502
EUTR,39.03946340166621,30.39715645257019
FIVE,55.2218187151677,53.28801887491444
FLOT,40.26747651786106,32.30810306315545
GAZP,43.96013809361634,33.092815788169226
GEMC,43.07335398885657,34.59771029391869
HEAD,54.458477556941766,53.883019641392025
HYDR,36.46212275025042,28.602819270342444
IRAO,39.75595802311136,29.953946216507543
KAZT,39.38508193862159,31.632043680679732
MGTSP,39.45593555767598,30.451341390697745
MRKP,36.571121731488994,28.380515741716337
MRKV,46.44899944520488,36.06702115996687
NKNC,47.86453586765692,36.15364703287223
PHOR,36.61651351378943,28.69902974678102
PIKK,31.738976681736343,21.73526251362842
POLY,66.42013092116373,65.98498439275743
PRMD,41.38745000936274,31.769222745071396
RASP,30.320242937311658,21.987840307761168
RENI,47.87096256060128,46.525470241070074
RKKE,28.814159208370278,21.692860401022283
SMLT,37.91406236731569,28.733725735780418
SOFL,38.040274127916646,28.672479302124792
SPBE,28.86518561155418,18.923021081037948
TATN,38.1474853429583,26.479615691038077
TRMK,40.388255347719884,31.084413638221946
TTLK,43.47238122499066,34.159354777052855
VKCO,39.55985950274944,31.216099264713186
