scenario,spearman,kendall_tau_b,mean_abs_rank_shift,max_abs_rank_shift,top_k_jaccard,l1_from_equal,max_weight,family,varied_component,target_weight,weight_media_score,weight_awards_score,weight_expertise_score,weight_face_score,weight_communication_score
3083,0.039926739926739924,0.02876984126984127,20.40625,62.0,0.1111111111111111,1.6,1.0,one_at_a_time,face_score,1.0,0.0,0.0,0.0,1.0,0.0
2098,0.04189560439560439,0.031746031746031744,20.40625,62.0,0.1111111111111111,1.593037432179739,0.9965187160898695,dirichlet_0.2,,,2.8655043281532647e-08,6.43695917385066e-05,0.0003404472049674676,0.9965187160898695,0.003076438458381212
2142,0.043223443223443216,0.03075396825396825,20.40625,62.0,0.1111111111111111,1.5968527311847605,0.9984263655923802,dirichlet_0.2,,,2.2406945851399673e-07,0.0004900023802347929,0.000740102390309982,0.9984263655923802,0.00034330556761656364
2342,0.0451007326007326,0.03373015873015873,20.375,62.0,0.1111111111111111,1.5866688118367014,0.9933344059183506,dirichlet_0.2,,,0.0017837033482600274,1.1349712812498166e-07,0.0012744745736457226,0.9933344059183506,0.0036073026626154358
2214,0.04647435897435897,0.03273809523809523,20.375,62.0,0.1111111111111111,1.5946947278221573,0.9973473639110786,dirichlet_0.2,,,2.1896693046306334e-06,0.0014332667252465671,8.601321589411616e-07,0.9973473639110786,0.001216319562211184
2845,0.04656593406593406,0.03373015873015873,20.34375,62.0,0.1111111111111111,1.589810995657867,0.9949054978289334,dirichlet_0.2,,,0.0024916341401053153,0.002593816773598692,9.011694314405729e-06,0.9949054978289334,3.9563048031772944e-08
2671,0.0477106227106227,0.03472222222222222,20.25,62.0,0.1111111111111111,1.5922443687629688,0.9961221843814843,dirichlet_0.2,,,5.059057562501082e-05,2.5297895400241854e-07,0.0038240416098993904,0.9961221843814843,2.930454037191132e-06
2645,0.05054945054945054,0.03571428571428571,20.34375,62.0,0.1111111111111111,1.5777067779503848,0.9888533889751924,dirichlet_0.2,,,1.7425427099007507e-05,0.009501866867950005,0.0011171438474052659,0.9888533889751924,0.0005101748823533444
2016,0.056227106227106215,0.03968253968253968,20.1875,62.0,0.1111111111111111,1.5831864584236157,0.9915932292118078,dirichlet_0.2,,,0.00011647448038559052,0.0021093070752219436,0.0061809889420152,0.9915932292118078,2.905694000758932e-10
2149,0.05659340659340659,0.041666666666666664,20.21875,62.0,0.1111111111111111,1.551447025897598,0.9757235129487989,dirichlet_0.2,,,0.008251634076055928,0.015929377727735495,8.495243973841064e-05,0.9757235129487989,1.0522807671093883e-05
