ticker,equal4,critic4
ABIO,42.7400256783846,35.22737214353202
AGRO,55.847714195092934,45.93342684731811
ALRS,50.7937907777037,42.36078126653884
AQUA,51.6358899159728,42.54336285204098
DATA,57.88643973577232,52.776227714520054
DELI,54.28238225743647,49.17021880604147
ETLN,55.52941095484293,46.412124421286784
EUTR,49.4730565450211,41.899006890690075
FIVE,65.02277914607797,64.15194965443385
GAZP,50.83925920439294,42.25564314492849
GEMC,54.42754189293524,45.42764199391854
HEAD,65.20525876115308,65.62974900976899
HYDR,45.76431505424552,40.361434173413905
IRAO,48.41894011942935,40.70756202052521
KAZT,49.13513089989382,42.83291191392624
MGTSP,51.392027621186834,42.33729976526368
MRKC,50.142694249072676,43.089697879328504
MRKP,47.47670690071091,40.62987054624473
MRKV,53.147534540222196,44.5746949382264
MSRS,48.71362526986013,40.77990123659232
MTSS,64.41726710556857,66.53650262902734
NKNC,52.363735229506844,43.60592062617023
PHOR,48.439429576511024,41.23477213659422
PIKK,42.54268396014964,35.10749501176491
POSI,22.480739392744375,22.64497872913898
PRMD,49.03614784561155,41.80345801650922
RENI,57.17315486459638,58.99767457635187
RUAL,57.2748176691746,55.347545648311794
SMLT,47.272079610112314,40.15685469667749
SOFL,46.39839056560709,39.74156787467773
SPBE,41.31918389716281,33.51964896669614
SVCB,58.481976550019276,53.917927339521874
TATN,45.305905414404684,37.12761843697756
TTLK,52.15303201540029,44.026726939474614
