iteration,sample_size,unique_companies,status,reason
318,28,18,ok,
319,28,17,ok,
320,28,17,ok,
321,28,16,ok,
322,28,18,ok,
323,28,20,ok,
324,28,18,ok,
325,28,20,ok,
326,28,17,ok,
327,28,18,ok,
328,28,20,ok,
329,28,17,ok,
330,28,20,ok,
331,28,16,ok,
332,28,15,ok,
333,28,15,ok,
334,28,16,ok,
335,28,18,ok,
336,28,20,ok,
337,28,17,ok,
338,28,17,ok,
339,28,21,ok,
340,28,19,ok,
341,28,18,ok,
342,28,17,ok,
343,28,18,ok,
344,28,18,ok,
345,28,17,ok,
346,28,21,ok,
347,28,20,ok,
348,28,18,ok,
349,28,21,ok,
350,28,19,ok,
351,28,18,ok,
352,28,17,ok,
353,28,17,ok,
354,28,18,ok,
355,28,16,ok,
356,28,18,ok,
357,28,19,ok,
358,28,18,ok,
359,28,19,ok,
360,28,19,ok,
361,28,17,ok,
362,28,17,ok,
363,28,17,ok,
364,28,18,ok,
365,28,17,ok,
366,28,19,ok,
367,28,18,ok,
368,28,18,ok,
369,28,22,ok,
370,28,19,ok,
371,28,20,ok,
372,28,17,ok,
373,28,21,ok,
374,28,16,ok,
375,28,17,ok,
376,28,19,ok,
377,28,20,ok,
378,28,18,ok,
379,28,17,ok,
380,28,17,ok,
381,28,18,ok,
382,28,16,ok,
383,28,19,ok,
384,28,18,ok,
385,28,18,ok,
386,28,15,ok,
387,28,16,ok,
388,28,20,ok,
389,28,17,ok,
390,28,18,ok,
391,28,20,ok,
392,28,21,ok,
393,28,18,ok,
394,28,19,ok,
395,28,16,ok,
396,28,19,ok,
397,28,21,ok,
398,28,18,ok,
399,28,20,ok,
400,28,19,ok,
401,28,18,ok,
402,28,17,ok,
403,28,19,ok,
404,28,16,ok,
405,28,16,ok,
406,28,20,ok,
407,28,17,ok,
408,28,16,ok,
409,28,18,ok,
410,28,19,ok,
411,28,20,ok,
412,28,18,ok,
413,28,19,ok,
414,28,17,ok,
415,28,18,ok,
416,28,21,ok,
417,28,19,ok,
418,28,20,ok,
419,28,24,ok,
420,28,18,ok,
421,28,18,ok,
422,28,18,ok,
423,28,19,ok,
424,28,20,ok,
425,28,16,ok,
426,28,18,ok,
427,28,20,ok,
428,28,19,ok,
429,28,16,ok,
430,28,16,ok,
431,28,19,ok,
432,28,20,ok,
433,28,18,ok,
434,28,15,ok,
435,28,16,ok,
436,28,17,ok,
437,28,21,ok,
438,28,17,ok,
439,28,22,ok,
440,28,18,ok,
441,28,17,ok,
442,28,19,ok,
443,28,17,ok,
444,28,18,ok,
445,28,17,ok,
446,28,21,ok,
447,28,18,ok,
448,28,17,ok,
449,28,17,ok,
450,28,17,ok,
451,28,18,ok,
452,28,20,ok,
453,28,17,ok,
454,28,20,ok,
455,28,16,ok,
456,28,19,ok,
457,28,19,ok,
458,28,19,ok,
459,28,20,ok,
460,28,21,ok,
461,28,19,ok,
462,28,15,ok,
463,28,17,ok,
464,28,20,ok,
465,28,21,ok,
466,28,20,ok,
467,28,20,ok,
468,28,16,ok,
469,28,19,ok,
470,28,18,ok,
471,28,17,ok,
472,28,18,ok,
