ticker,equal4,critic4
ABIO,56.29060073412258,37.2475068698444
AGRO,70.66191473371236,60.60031342334017
ALRS,66.28353267852285,53.51823249294115
AQUA,67.73510786256149,54.89066002917765
DATA,67.72392340181528,55.86954136365932
DELI,62.33155423988473,47.100837417456006
ETLN,70.8591625412258,61.56764904250303
EUTR,64.03946340166623,51.16717648067897
FIVE,67.00597004468149,54.0728136063205
GAZP,68.96013809361634,56.09539340808305
GEMC,68.07335398885657,57.88065656793202
HEAD,64.74550117165468,51.0305306990052
HYDR,61.46212275025042,48.05250187194312
IRAO,64.75595802311136,50.76556884657004
KAZT,64.3850819386216,52.89594097552667
MGTSP,64.45593555767599,51.369443628010146
MRKP,61.571121731489,47.80248554169533
MRKV,71.44899944520489,60.73817763085702
NKNC,72.86453586765693,61.232126472017036
PHOR,61.61651351378943,48.24567890092474
PIKK,56.73897668173634,37.629788924931866
PRMD,66.38745000936274,53.62294943989249
RENI,59.65511389011509,43.03220163313459
SMLT,62.914062367315694,48.635226519924046
SOFL,63.04027412791664,48.58074965505851
SPBE,53.86518561155418,33.10634712647732
TATN,63.1474853429583,45.69258502859794
TTLK,68.47238122499067,57.38820251585723
