ticker,equal4,critic4
ABIO,51.93496258720216,39.03731757895332
AGRO,55.94487330270197,41.79127440363645
ALRS,54.46287201019322,40.908239816632886
AQUA,56.248402475865554,42.140041996643816
CBOM,35.893926355201046,26.835432557555087
DATA,60.55784367425816,51.335453999668644
DELI,59.32481990811367,50.323502135376906
ETLN,54.93220898120737,41.19425334250807
EUTR,52.042105366307425,39.226754725498644
FIVE,68.8781629928803,65.24535007416162
GAZP,57.38503679291907,43.116905830792454
GEMC,53.18460047184208,39.86033325295229
HEAD,68.94907431668753,66.87987777981155
HYDR,49.44515577530326,37.67321239331876
IRAO,54.245710985447836,40.86712084859839
KAZT,50.2609556706392,38.15033359233991
MGTSP,53.175615695818855,39.78585045317631
MRKP,50.43672090135293,38.12819642845729
MRKV,57.19113087835728,43.012245475158394
NKNC,59.876373921029305,45.016065292248406
PHOR,50.08006336206954,37.78829127895526
PIKK,52.45760530693251,39.45300710402993
PRMD,54.218446531482336,40.96906277894124
RENI,65.2450187685233,62.94405194143462
SMLT,52.54662081547936,39.681378137559165
SOFL,52.77321985626339,39.946536247142774
SPBE,51.715393349623874,38.776174908741176
TATN,57.15038120603835,42.93152217387562
TTLK,54.477679070258155,41.01572593615327
