,media_score,awards_score,expertise_score,face_score,communication_score
media_score,1.0,0.2178394518354205,0.23612165800837062,-0.1391754814901423,0.05459789231195106
awards_score,0.2178394518354205,1.0,0.24644658704016184,-0.2139458496937513,-0.03567171800027322
expertise_score,0.23612165800837062,0.24644658704016184,1.0,-0.0022273070278445726,-0.10365635121993864
face_score,-0.1391754814901423,-0.2139458496937513,-0.0022273070278445726,1.0,-0.04582034499902673
communication_score,0.05459789231195106,-0.03567171800027322,-0.10365635121993864,-0.04582034499902673,1.0
