component,point,mean,std,p025,median,p975
media_score,0.15713186976993096,0.16029615026076893,0.030257498055308737,0.10871519094270683,0.1578798169834285,0.2252005687111482
awards_score,0.4089752205321247,0.399312740670887,0.07722729781356669,0.20830896885604192,0.4073998495348331,0.5214354582571243
expertise_score,0.28279616274064767,0.285933062389994,0.0473249146173942,0.20357888086921563,0.28239546861444,0.3902620854035708
face_score,0.15109674695729658,0.15445804667835003,0.028572765990998745,0.1048325506512477,0.1520098853925034,0.21511534382440003
communication_score,0.0,0.0,0.0,0.0,0.0,0.0
