scenario,spearman,kendall_tau_b,mean_abs_rank_shift,max_abs_rank_shift,top_k_jaccard,l1_from_equal,max_weight,family,varied_component,target_weight,weight_media_score,weight_awards_score,weight_expertise_score,weight_face_score,weight_communication_score
2137,0.3420908593322386,0.25396825396825395,7.642857142857143,18.0,0.25,1.5245748014029186,0.9622874007014591,dirichlet_0.2,,,0.9622874007014591,7.946653368328948e-11,0.021941828555111956,0.00012271902013621293,0.01564805164382607
2086,0.3470169677066229,0.24338624338624337,7.571428571428571,18.0,0.25,1.4570948434586777,0.9285474217293388,dirichlet_0.2,,,0.9285474217293388,0.0006615408295650887,0.0036515392803252843,8.635883157548127e-05,0.06705313932919539
2464,0.3470169677066229,0.24338624338624337,7.571428571428571,18.0,0.25,1.3254874414031679,0.8627437207015838,dirichlet_0.2,,,0.8627437207015838,1.710083133595136e-05,0.0007782148144016543,1.371759543492636e-07,0.13646082647672408
2563,0.3470169677066229,0.24338624338624337,7.571428571428571,18.0,0.25,1.5958188493590149,0.9979094246795076,dirichlet_0.2,,,0.9979094246795076,0.0001888820201985103,0.001346784658686263,1.3480648981193889e-06,0.0005535605767096194
2567,0.3470169677066229,0.24338624338624337,7.571428571428571,18.0,0.25,1.5969651271058707,0.9984825635529353,dirichlet_0.2,,,0.9984825635529353,3.741873217873149e-05,0.0004591729956694683,5.1923980237175205e-06,0.001015652321192748
2096,0.3497536945812808,0.25925925925925924,7.571428571428571,18.0,0.25,1.4922460239563615,0.9461230119781807,dirichlet_0.2,,,0.9461230119781807,1.0371390384469188e-05,0.04881289034578061,7.170979003228198e-06,0.005046555306650884
2808,0.3497536945812808,0.25925925925925924,7.571428571428571,18.0,0.25,1.4820943844130512,0.9410471922065256,dirichlet_0.2,,,0.9410471922065256,5.02831399347168e-09,0.04263995243737141,0.01406976560096305,0.002243084726826044
2005,0.35030103995621237,0.24867724867724864,7.571428571428571,18.0,0.25,1.1934294386377404,0.7591035624128433,dirichlet_0.2,,,0.23761115690602694,5.870347151737917e-07,0.0027581980746690096,0.0005264955717456787,0.7591035624128433
2100,0.35030103995621237,0.24867724867724864,7.571428571428571,18.0,0.25,1.5668383116017826,0.9834191558008911,dirichlet_0.2,,,0.9834191558008911,3.463503079228795e-16,0.007554265797514986,0.0063069387926210085,0.002719639608972422
2302,0.35030103995621237,0.24867724867724864,7.571428571428571,18.0,0.25,1.5169341278446875,0.9584670639223436,dirichlet_0.2,,,0.9584670639223436,5.926440395419108e-05,0.00520844371479516,0.001610015010447646,0.03465521294845928
