feature,std,conflict,information,weight
media_score,0.06726793880990864,2.5819328080126054,0.17368129814068753,0.11936683405094033
awards_score,0.1260862289555727,2.527929082408411,0.3187370450679977,0.21906003911658786
expertise_score,0.11911055336949057,2.7264948873420662,0.32475431479040034,0.2231955588535026
communication_score,0.20677618678014129,3.084730176908262,0.637848743226721,0.43837756797896915
