,media_score,awards_score,expertise_score,face_score,communication_score
media_score,1.0,0.25548391753336547,0.0345847992239468,-0.19470322514109065,0.0844614673728499
awards_score,0.25548391753336547,1.0,0.24980886740587321,-0.27784714813863237,0.06909015758056829
expertise_score,0.0345847992239468,0.24980886740587321,1.0,-0.0018299750722412295,-0.058586202413726945
face_score,-0.19470322514109065,-0.27784714813863237,-0.0018299750722412295,1.0,-0.04582034499902686
communication_score,0.0844614673728499,0.06909015758056829,-0.058586202413726945,-0.04582034499902686,1.0
