ticker,equal4,critic4
ABIO,63.91243168493857,69.56756264889914
AFLT,62.32727952075854,67.50763609736047
AGRO,71.32737464322673,76.32248639855545
ALRS,64.31444200564239,69.68326082268479
APTK,67.07954943725345,73.55743254446949
AQUA,64.6441116594839,70.42090553183789
ASTR,62.50048577351488,68.82471922233759
CBOM,54.02948321831387,55.11909706835338
CIAN,65.26220781341232,71.04191905095215
DATA,62.59637618891099,67.71691474390002
DELI,63.96273840093079,69.76168198190548
ENPG,63.56218344377248,69.3568241712346
ETLN,64.82998309947716,71.1878872478649
EUTR,64.44494968915005,70.25960950203175
FEES,61.840420996066435,68.2955386109271
FESH,65.65840934861451,71.65002561751493
FIVE,67.64541305495267,73.3358393488866
FIXP,63.26589346074819,68.01818563380115
GAZP,66.79903774071767,72.20849716417949
GEMC,57.27239367955992,62.38510109487086
GLTR,52.73171400218432,51.37497020540624
GMKN,61.27479640152439,68.11565819761323
HEAD,63.478604575456835,69.15282041150708
HNFG,62.88002886610777,68.04871625284939
HYDR,54.140663821021406,61.01435015813893
IRAO,63.912208366008905,70.08500492380385
IVAT,63.65047918654667,68.71061766391917
KAZT,63.649167545187545,69.82254310903136
LSNGP,61.62226346057348,67.749708136027
MGTSP,61.999973491569136,68.43351095037494
MOEX,61.63711505326776,67.64596724027089
MRKC,58.77071032232111,65.71641091774858
MRKP,59.203700303243544,65.85508506758637
MRKU,54.56332267338706,62.49846621832672
MRKV,58.43709382872281,65.07402911957244
MRKZ,59.869264428237926,66.77817568711379
MSRS,59.90959191660663,66.52559407048713
MTSS,65.87209760614388,70.79926713670517
MVID,55.81262743135864,61.64741500264018
NKNC,61.59115790744184,67.09194086468685
NLMK,62.162312480776,68.06010721683897
OZPH,60.398261331871275,65.41009438823832
PHOR,56.1573002715714,61.85573826293022
PIKK,58.02093432362394,63.15346732836558
POSI,30.254014659786154,23.371926292364005
PRMD,64.68917310742694,69.63760393988142
RENI,60.42785074677581,66.0028735875463
RNFT,60.2318036325308,66.27873420802159
ROSN,61.43749482602736,66.45813163482352
RUAL,57.241232528234086,64.38248828256425
SBER,54.40138023404069,52.14053470709099
SELG,54.13757830510797,60.90179254652992
SGZH,58.91559580806114,64.52258040408755
SMLT,62.275407926890715,67.26152193279056
SOFL,61.15999966918051,66.30274891712446
SPBE,60.390018954834886,65.61978690291599
SVCB,62.1002507349293,67.5045093515526
TATN,60.09018681059134,65.44440807258695
TRNFP,57.19128147901136,62.398113382125416
TTLK,57.10601012485682,62.458910978432414
UGLD,58.027575021874966,63.9585198897971
VSEH,55.63116921587385,61.248913574220985
VTBR,57.03669644478371,62.136282461580095
YDEX,58.465364580092704,63.2035740868554
