iteration,media_score,awards_score,expertise_score,face_score,communication_score
0,0.11065980263001081,0.21418225310881428,0.18259156652183053,0.13394209527417558,0.35862428246516875
1,0.15137299201452808,0.2027825981518298,0.25103427097232944,0.1632897352067374,0.23152040365457538
2,0.1225474582848409,0.14503059825214634,0.27320761947841543,0.14208174938897578,0.3171325745956215
3,0.15127635853377874,0.24257414767306135,0.24005980948865072,0.15213613328169465,0.2139535510228145
4,0.09412498699158174,0.2323782558669867,0.16684897587519396,0.1639999545697106,0.34264782669652705
5,0.1477205034336906,0.286018977842379,0.22083810924107994,0.11384336706643221,0.23157904241641822
6,0.13403655577774282,0.23414258711497493,0.21314778720347521,0.1378540392132168,0.2808190306905903
7,0.11788190946826263,0.22742220000302213,0.221998444249227,0.13751355732182152,0.29518388895766673
8,0.12506332458096595,0.2803557276132338,0.15359351429915138,0.11233656049458088,0.3286508730120681
9,0.1256125134531496,0.18889050053885093,0.1968058936314831,0.11494593230582367,0.3737451600706928
10,0.1318576755561026,0.2188042170951094,0.21809668788812292,0.12036645371567842,0.31087496574498674
11,0.1260173053266443,0.22005795106790932,0.15983691218936832,0.10331666523828165,0.39077116617779634
12,0.10747058680812867,0.1196763331098122,0.2198713447281342,0.11918419102269004,0.4337975443312349
13,0.1386084064457473,0.22472256340242533,0.24232793256365487,0.1437098494894366,0.2506312480987359
14,0.12508990160194036,0.2428604496350698,0.17439623087700318,0.11981998729094685,0.33783343059503984
15,0.09405398620188687,0.2530322949337524,0.19613117563980614,0.16196288978407128,0.2948196534404834
16,0.08596360360635946,0.22996018098930865,0.26236663170746516,0.13709244465536644,0.28461713904150027
17,0.16164072820768935,0.2850760937663635,0.23450980936508342,0.1388252019614167,0.1799481666994471
18,0.1353634068624089,0.1465935221303132,0.20858246795981744,0.13525401453497224,0.37420658851248834
19,0.14552199093355478,0.22872771419972882,0.22300224018608225,0.1261001956882777,0.27664785899235633
20,0.1558924133408485,0.2518330143393118,0.18614919157040596,0.14132550699037996,0.2647998737590538
21,0.15651091236990777,0.19410301099830085,0.24549529611225013,0.11410931047111442,0.28978147004842686
22,0.11914018493447778,0.2573011611357531,0.17063550243585984,0.1263592868264232,0.3265638646674862
23,0.14802434896493832,0.19029763101874744,0.20231569200597838,0.12022849947733547,0.3391338285330004
24,0.11813340245898087,0.2070488722922461,0.190716203789022,0.13997315468443405,0.344128366775317
25,0.14385667155160087,0.21752215036295755,0.1849948329278724,0.13756748445198855,0.31605886070558065
26,0.09969957316838637,0.19699857851033029,0.2004782920968537,0.16213692439809468,0.34068663182633485
27,0.17531564550709774,0.21062316389184024,0.1821638377690645,0.13750183214728876,0.2943955206847088
28,0.10911595777318372,0.2097413037745169,0.2040122929262466,0.1462434943147248,0.33088695121132783
29,0.1300959232916201,0.22220279034375995,0.17179422968316058,0.16792538085189893,0.30798167582956054
30,0.12584911840412186,0.2642988063491698,0.20729832632638784,0.13258094393817504,0.2699728049821455
31,0.1230680897574247,0.23527411722937916,0.2518722762168652,0.14015110598961114,0.2496344108067196
32,0.11959533794561697,0.2717415364093192,0.19384068777705193,0.14908867136794285,0.26573376650006914
33,0.14797317343728686,0.2572521828323418,0.20517728615857067,0.12979554020257564,0.2598018173692249
34,0.10457018562600733,0.22874846604856125,0.2706598820393268,0.13765051847440862,0.2583709478116959
35,0.10494529605121648,0.1969699021035551,0.1437686648295599,0.13280999959292353,0.421506137422745
36,0.1574859575238053,0.18904400489764636,0.1870862119893918,0.12312948678370754,0.3432543388054489
37,0.13236547158309386,0.20773362077114252,0.19828666057902597,0.14656750990534803,0.31504673716138976
38,0.12323448853207139,0.22076509168233402,0.2577962048459117,0.14106492989921923,0.2571392850404636
39,0.13572502347912174,0.253614932397074,0.19876589985340723,0.15062742912288873,0.26126671514750816
40,0.12164203339783543,0.21398453824820288,0.23494446480171347,0.1362529108619212,0.2931760526903271
41,0.14493608929229806,0.1983457965323106,0.2808559890053933,0.14343244399573568,0.23242968117426233
42,0.10941757186267746,0.26394080245430956,0.19502305101172349,0.14558712190520898,0.28603145276608066
43,0.11788160368250677,0.18158087447631202,0.16804729368199495,0.16503265545306764,0.36745757270611856
44,0.10868379732027574,0.21347762139217744,0.16216281272440822,0.13321848956059057,0.3824572790025481
45,0.12145281022832675,0.23153732759199408,0.21237236906620127,0.15808826486241886,0.27654922825105904
46,0.13771875638906234,0.22195137026389047,0.2184173548159443,0.14297966073439516,0.27893285779670773
47,0.13820341580372575,0.19691816284682723,0.1669767384816119,0.16807435390277392,0.3298273289650611
48,0.14948468117317418,0.2090589927525942,0.20753576752885067,0.11075317214564136,0.32316738639973963
49,0.18817076676054495,0.20668021470990458,0.2554160233967132,0.18231125905839862,0.16742173607443875
50,0.15575335187177722,0.18879693494339692,0.23042436502216376,0.12802401211783487,0.29700133604482726
51,0.14926102399408514,0.23674346905393168,0.20318937039466264,0.1286435481995742,0.2821625883577465
