,media_score,awards_score,expertise_score,face_score,communication_score
media_score,1.0,0.2146523447364369,0.18005316589287312,0.06318534774895397,0.12022133059215007
awards_score,0.2146523447364369,1.0,-0.19359281757625546,0.22750233402286937,-0.1166842666476123
expertise_score,0.18005316589287312,-0.19359281757625546,1.0,0.08188509960291344,-0.12010044475462545
face_score,0.06318534774895397,0.22750233402286937,0.08188509960291344,1.0,0.3780351800138362
communication_score,0.12022133059215007,-0.1166842666476123,-0.12010044475462545,0.3780351800138362,1.0
