iteration,media_score,awards_score,expertise_score,face_score,communication_score
0,0.1268229670861243,0.45731798633734305,0.25836564331764844,0.15749340325888422,0.0
1,0.16367016324650213,0.39256486548603203,0.29045354932929646,0.15331142193816957,0.0
2,0.17413295791872765,0.403823771243297,0.2974213009038817,0.12462196993409363,0.0
3,0.2142293148548989,0.36394281377371307,0.270574837477388,0.15125303389400002,0.0
4,0.15692723408496118,0.41790255087815403,0.2968879375193563,0.12828227751752846,0.0
5,0.18384822926283648,0.19877337237255108,0.3633613175907999,0.2540170807738125,0.0
6,0.2079105786151544,0.3856741270142733,0.31365097689030297,0.09276431748026939,0.0
7,0.18842801496943754,0.32081797509562276,0.34636123506008193,0.14439277487485774,0.0
8,0.14998416810901624,0.4898786317325854,0.21232530217826764,0.1478118979801307,0.0
9,0.14748139597670953,0.3601378324298525,0.32020554431803305,0.1721752272754049,0.0
10,0.21184759564253505,0.22126013420300203,0.40210258167419244,0.1647896884802705,0.0
11,0.15339177925757944,0.4492619949384565,0.2737422509600023,0.12360397484396175,0.0
12,0.18637590592591222,0.3718851247781656,0.2829292749288155,0.1588096943671066,0.0
13,0.2053738721808774,0.29566314306624175,0.3212100181603711,0.17775296659250975,0.0
14,0.153314823383254,0.1851903908439442,0.399782092967507,0.26171269280529474,0.0
15,0.13018412805333138,0.38869604803109864,0.321364923097479,0.1597549008180911,0.0
16,0.1885647373228299,0.4169260252222702,0.26549851403550334,0.12901072341939648,0.0
17,0.18728644672949463,0.3716278420811743,0.26344181009495554,0.1776439010943754,0.0
18,0.18579615443599837,0.3247866834619318,0.29338353103436676,0.19603363106770297,0.0
19,0.15456620435392163,0.40033887724541106,0.2837458035210849,0.16134911487958228,0.0
20,0.15392813311361228,0.48313724980704426,0.23534667596589706,0.12758794111344632,0.0
21,0.12370785791929208,0.35281918242858035,0.34038437940837296,0.18308858024375468,0.0
22,0.16027328808876545,0.4221829189260652,0.2300049008920301,0.1875388920931392,0.0
23,0.19399742228160421,0.41541923720778795,0.23930021159841952,0.15128312891218848,0.0
24,0.1580103055652628,0.3668584619065136,0.3178099686468713,0.15732126388135234,0.0
25,0.184710845626119,0.35472775768926107,0.27723317739779957,0.18332821928682042,0.0
26,0.19795551881042128,0.4007739238463706,0.23488777678523765,0.1663827805579704,0.0
27,0.19513197885789962,0.28929414038338275,0.33408530003910836,0.1814885807196094,0.0
28,0.11931844997620575,0.48718557665346474,0.25878816353210804,0.1347078098382215,0.0
29,0.13862878813126517,0.44070084213687144,0.27348549232407954,0.14718487740778394,0.0
30,0.15927170205186628,0.414395065241938,0.27138892388410013,0.15494430882209556,0.0
31,0.2324005112439947,0.17077143614228554,0.4187145046493619,0.1781135479643579,0.0
32,0.1772194325923772,0.28904673071672043,0.36342871606551225,0.17030512062539002,0.0
33,0.15439185456294383,0.4435903838560161,0.2483255971275245,0.1536921644535156,0.0
34,0.17604096846167383,0.3887120349235949,0.2749272952324757,0.16031970138225554,0.0
35,0.1626932695216404,0.3968671952571052,0.27750719257021145,0.1629323426510429,0.0
36,0.18410893264051792,0.43597884355227673,0.25959501225015436,0.12031721155705108,0.0
37,0.15905374076337564,0.39659578489821196,0.2618203974253657,0.18253007691304668,0.0
38,0.12566657823166205,0.35589784731353813,0.3425226053623629,0.17591296909243712,0.0
39,0.11503895707600015,0.39893698701478003,0.3177835925733554,0.16824046333586437,0.0
40,0.12252925232281174,0.508997377279529,0.24611113567365564,0.12236223472400361,0.0
41,0.14287477208696892,0.4175852512586247,0.2847463501783798,0.15479362647602654,0.0
42,0.15653013345947292,0.4420779696732159,0.2684123249688539,0.13297957189845733,0.0
43,0.1501852052743465,0.4012064014082984,0.29310174141570766,0.15550665190164756,0.0
44,0.12564325054534953,0.3994362848122739,0.2875242641766754,0.18739620046570094,0.0
45,0.1936296787476436,0.48002113784284867,0.2279755370514753,0.09837364635803236,0.0
46,0.1515894505349358,0.49584220560675263,0.2238544987613371,0.1287138450969746,0.0
47,0.17367556047490285,0.4077765716694852,0.22333933099853479,0.19520853685707715,0.0
48,0.19075504013129682,0.45117109997200355,0.2253099737966544,0.13276388610004516,0.0
49,0.14863224886085238,0.3543086381753159,0.3167526273355365,0.18030648562829527,0.0
50,0.17116510940706256,0.3805368631616361,0.30210587765104635,0.14619214978025508,0.0
51,0.12816046468772993,0.49172364430829146,0.262101643800031,0.11801424720394771,0.0
52,0.1287411280627902,0.4633813324625352,0.25779719586611377,0.1500803436085607,0.0
53,0.1658409729155257,0.3990169035071777,0.30435976264842235,0.13078236092887424,0.0
54,0.13158455221108703,0.4272453507048562,0.29864791426919984,0.14252218281485707,0.0
55,0.17337045173752155,0.2971632679514919,0.35612779680474976,0.1733384835062368,0.0
56,0.16848009942152498,0.41410063872370756,0.25757668961490277,0.15984257223986467,0.0
57,0.1185517892741438,0.4757085613503504,0.23044950181464333,0.17529014756086245,0.0
58,0.19083040206057963,0.39303818259809004,0.2757914671217673,0.14033994821956292,0.0
59,0.16201542804340777,0.39699840906536865,0.2817603340328265,0.159225828858397,0.0
60,0.1744983026399446,0.43548101880573425,0.23832688459342485,0.15169379396089624,0.0
61,0.17984061447750332,0.454448713703799,0.26088773610687577,0.10482293571182191,0.0
62,0.14914424758398173,0.44494313019656995,0.23634485085449636,0.16956777136495185,0.0
63,0.17338853168588547,0.4119999749156205,0.26776000511792797,0.1468514882805659,0.0
64,0.1516750860432902,0.33778502826996015,0.3394560157462727,0.17108386994047697,0.0
65,0.18933603411726604,0.3922320948958625,0.2809243689059806,0.1375075020808908,0.0
66,0.1358016102288742,0.4796430615685877,0.21942589170785154,0.1651294364946865,0.0
67,0.10885737794417973,0.5003006724440937,0.21928516132892129,0.17155678828280527,0.0
68,0.17252560359491756,0.4787707609061589,0.2465462680060893,0.10215736749283408,0.0
69,0.18116820814469786,0.25319094337035547,0.41324627022387306,0.1523945782610737,0.0
70,0.16905103937769791,0.3109459021512461,0.3698902292109221,0.15011282926013386,0.0
71,0.1749868091063654,0.26289952310989084,0.34446244745750443,0.21765122032623935,0.0
72,0.16019388928197753,0.29315996563519797,0.3403595286584208,0.20628661642440366,0.0
73,0.1231393250124118,0.3937910695525341,0.3273349826002226,0.15573462283483155,0.0
74,0.21788092050838204,0.3648071774088011,0.26912202555878056,0.14818987652403637,0.0
75,0.13371939247927603,0.3967501149042859,0.2997259298869728,0.16980456272946526,0.0
76,0.10255673641243579,0.4616309608748094,0.27645830883826805,0.15935399387448668,0.0
77,0.1775877223360844,0.39216664871652906,0.30020176074292504,0.13004386820446137,0.0
78,0.10955441188746852,0.40075707553378825,0.3331198865407688,0.1565686260379745,0.0
79,0.1638558853228483,0.3446678833582206,0.318212427042218,0.17326380427671312,0.0
80,0.16075691210356252,0.3450681362370356,0.32323405493433865,0.17094089672506319,0.0
81,0.142341582527799,0.43465449031857656,0.26412344163110035,0.15888048552252415,0.0
82,0.16467525971565802,0.18689965279838094,0.4079245593526408,0.24050052813332018,0.0
83,0.10305774040057213,0.4704642816368973,0.26826045276425203,0.15821752519827842,0.0
84,0.17587879887200972,0.34935880038797085,0.290766682834844,0.1839957179051754,0.0
85,0.15731542439400936,0.4820800361637312,0.2344614012402097,0.12614313820204975,0.0
86,0.15150284644350556,0.2787236462657977,0.3788330355852898,0.19094047170540712,0.0
87,0.1762404218069233,0.4579153508631233,0.20751249627046173,0.1583317310594917,0.0
88,0.17660530908696764,0.5025945568890239,0.20584466837089446,0.11495546565311414,0.0
89,0.18358173181262388,0.44319542977720067,0.2823963749632714,0.09082646344690398,0.0
90,0.14282466591091306,0.3902339845649045,0.306405768715055,0.16053558080912742,0.0
91,0.17104680120364515,0.419297597855851,0.2662787891528897,0.14337681178761408,0.0
92,0.2027242780039216,0.1558138464748883,0.42063768749969893,0.22082418802149117,0.0
93,0.16576643627703808,0.4217013224173887,0.28257242446329206,0.12995981684228106,0.0
94,0.14852322344675636,0.4437438774601104,0.26445228473999016,0.14328061435314304,0.0
95,0.13159584053512058,0.4559090750650588,0.24936362534868228,0.16313145905113838,0.0
96,0.12965762474606932,0.4883356153338286,0.23151345823186895,0.15049330168823305,0.0
97,0.15198405298653514,0.391406906729609,0.28468511079730546,0.17192392948655036,0.0
98,0.14890881753886684,0.4060802619414192,0.2876891752935126,0.15732174522620126,0.0
99,0.175784685340272,0.44095172212200917,0.2511436289148165,0.1321199636229023,0.0
100,0.16879179950427597,0.3104129137362707,0.3360225438852914,0.18477274287416184,0.0
101,0.11605536420198322,0.5276188335110171,0.19706783445633977,0.15925796783065993,0.0
102,0.13449985650918297,0.41965864833550404,0.29913087961985635,0.14671061553545658,0.0
103,0.15776514878486794,0.3718425747282509,0.31375518173999045,0.15663709474689066,0.0
104,0.17320749077238373,0.4884026601111307,0.22278991025461575,0.11559993886186991,0.0
105,0.11020176836477574,0.39977437315872105,0.34520654429796976,0.1448173141785334,0.0
106,0.11001627030345358,0.4339442754303088,0.2822798808756475,0.17375957339059012,0.0
107,0.16434757778759457,0.33017453759730164,0.3172745218691852,0.1882033627459185,0.0
108,0.10000205216262444,0.3244532154153297,0.36370190811593306,0.21184282430611284,0.0
109,0.1814742795089172,0.3997867188134885,0.2598072802585041,0.15893172141909026,0.0
110,0.15047839561946777,0.37676277334185093,0.29416365204255435,0.17859517899612706,0.0
111,0.18329413603891315,0.40939423606353365,0.24043704088193468,0.1668745870156186,0.0
112,0.20246308735066665,0.3561812093377715,0.3242430795703841,0.11711262374117784,0.0
113,0.20866713885079008,0.32240764273146,0.3318442947119916,0.13708092370575836,0.0
114,0.15979927899238505,0.35043085560769754,0.2856813911945467,0.20408847420537068,0.0
115,0.1618926012740229,0.4503443349559039,0.24019755057572909,0.14756551319434408,0.0
116,0.12483075201616341,0.3713711146612049,0.33761254754680065,0.16618558577583087,0.0
117,0.12224393391117575,0.4185194178281717,0.2713838502000634,0.18785279806058913,0.0
118,0.1500661549394172,0.44621135828730313,0.25364329677889924,0.15007918999438044,0.0
119,0.14307491559097768,0.425567669485956,0.2882250726523104,0.14313234227075597,0.0
120,0.1544693184428061,0.39976645563480767,0.26330266102747824,0.18246156489490797,0.0
121,0.12751640742783402,0.32055866893988727,0.3145585305625891,0.23736639306968957,0.0
122,0.15618505919317066,0.34604843586939327,0.3573745961241129,0.14039190881332325,0.0
123,0.139810507368218,0.478420903946356,0.24162504165120313,0.1401435470342228,0.0
124,0.19525209187045584,0.43198617606236156,0.225069579365347,0.14769215270183558,0.0
125,0.16669817495038924,0.4227487703954561,0.2599852360782684,0.15056781857588628,0.0
126,0.14455822270627464,0.369890743536944,0.3540255133465466,0.1315255204102348,0.0
127,0.15382491654922928,0.4208255800466433,0.27703353520586604,0.14831596819826118,0.0
128,0.14998914960761664,0.498321507694437,0.21473653314677194,0.13695280955117436,0.0
129,0.21611777674646862,0.39136903063885303,0.21545340801280313,0.17705978460187516,0.0
130,0.09961513549875732,0.5248707900577935,0.22788016755848575,0.14763390688496342,0.0
131,0.20586625413329063,0.3807442169143474,0.2537980127659548,0.15959151618640724,0.0
