,count,mean,std,min,5%,25%,50%,75%,95%,max
equal,28.0,53.257703061062195,4.985580991818868,43.09214848924335,45.15802585262992,50.40697695021313,53.06839307515425,56.56898134847259,61.874798622996664,64.17745497213416
critic,28.0,33.17014082284362,8.197000557117397,18.881114769320256,21.619899399707066,28.752110172608866,31.728018428826942,36.08592564784495,51.11418267136806,53.971043551848965
