sample,reference,spearman_p025,spearman_median,spearman_p975,share_below_09,undefined
all_managers,equal,0.9639033882783881,0.9876831501831501,0.995970695970696,0.0145,0
all_managers,point_critic,0.973028846153846,0.9967490842490841,0.9995879120879121,0.0145,0
ceo,equal,0.950191570881226,0.9666119321291735,0.9808429118773946,0.0095,0
ceo,point_critic,0.9386425834701696,0.9934318555008209,0.9994526546250683,0.0145,0
