ticker,equal4,critic4
ABIO,38.91243168493857,35.26155641765661
AFKS,42.65448357563552,38.77211658653778
AFLT,38.875174952870005,35.08748936600708
AGRO,46.327374643226726,42.59411025786658
ALRS,40.073342834632236,36.39466500180867
APTK,60.12198977297996,61.56696123973661
AQUA,39.6441116594839,36.1012586924468
ASTR,42.82674571756046,40.855272595579336
BELU,40.41122509184946,37.57552684639929
CBOM,41.52948321831387,39.54610764518265
CHMK,37.58097557855492,34.9227051582044
CIAN,43.10808592212423,40.28745225524669
DATA,38.73472743239575,34.87014823911227
DELI,41.98676436174779,39.169989827520624
ENPG,42.60388548301476,40.003439911287465
ETLN,41.93183686880389,39.3581294169325
EUTR,39.444949689150036,35.9247660083638
FEES,39.07672655109679,36.43091128698058
FESH,40.658409348614505,37.35144934846002
FIVE,49.253337390195775,47.45964912273703
FIXP,38.26589346074819,33.84068711891561
FLOT,40.274128843904435,36.35662782592934
GAZP,42.316470124119846,38.727132429439166
GEMC,32.27239367955992,27.839046975093247
GLTR,41.36348141643717,37.767255214807626
GMKN,45.296016569387646,44.51438916460974
HEAD,41.748154883298405,38.87906902264779
HNFG,37.88002886610777,33.80123958883134
HYDR,29.140663821021402,25.834948148794556
IRAO,41.566265502611,38.911933184716425
IVAT,38.65047918654667,34.48920651354773
KAZT,40.83830455188902,38.083707749203285
LSNGP,37.49791826325406,34.245350779851925
MGTSP,40.678217587890906,38.43610080315388
MOEX,41.77163070072497,39.48592035440601
MRKC,33.7707103223211,30.862570067060446
MRKP,34.203700303243544,31.098891584730094
MRKU,31.42524434377194,29.464994934212612
MRKV,35.19419105053237,32.44434375405106
MRKZ,36.0509897337323,33.4460405915728
MSNG,34.18828373918906,30.757400044561926
MSRS,35.316145932136905,32.274536232852356
MTSS,47.263267465739354,44.64565944133122
MVID,32.45258483838091,28.89071321449141
NKNC,39.56357634546418,36.38987302020008
NLMK,41.174942404036116,38.53278348967778
OZPH,35.75399609546026,31.45975803954527
PHOR,33.13498152293593,29.53807632438726
PIKK,34.38124983047134,30.294806280169773
PLZL,37.90585212108143,34.52450224798035
POLY,38.70413214148739,35.635649423507125
POSI,31.256372456215402,27.84555697861062
PRMD,40.321590464918486,36.2762301875227
RASP,39.90607638375262,37.301412531471456
RENI,48.643699417262006,47.869391482507034
RKKE,24.96563580998417,22.329743515204882
RNFT,35.23180363253079,31.65870095077793
ROSN,36.84404884155763,32.64269280582514
RUAL,33.93653228203054,31.500076647067537
SBER,44.95085125782355,41.104377337501205
SELG,29.13757830510797,25.735023057512084
SGZH,42.934337430508094,41.085148888994276
SMLT,38.37672864943123,34.30576419444727
SNGS,30.811800485700978,27.48166553717377
SOFL,37.16235746560976,33.17736226684519
SPBE,36.03439182396798,32.00820209521009
SVCB,37.53807813626959,33.69133322661099
T,34.58919909375452,31.756778569742572
TATN,35.09018681059134,30.986251622026174
TGKA,37.38563979554811,33.374724564457246
TRMK,40.03348098921406,36.29305972083634
TRNFP,33.496105920018096,29.394765591585685
TTLK,32.10601012485682,27.816037915317516
UGLD,33.02757502187497,29.219102280954967
UPRO,29.092384870141085,25.323718428682135
VKCO,33.103549275169684,29.455772275685465
VSEH,31.390070044863688,27.389789760447314
VTBR,34.39679960137379,30.457600099295963
YDEX,34.31791336391004,29.816017111404225
