,full_weight,loo_mean,loo_std,loo_min,loo_max
media_score,0.2228638933571223,0.18200109753292854,0.04845127454742038,0.12045220896414781,0.37604634346128013
awards_score,0.4211127255792154,0.4076321483193584,0.04935605054710223,0.2511334309297775,0.5157391037567965
expertise_score,0.23988308871029598,0.29523394378669693,0.04319560517134053,0.21548362680389913,0.46125352821121435
face_score,0.11259433986728044,0.11353455788127728,0.023495596487981864,0.07409985074699584,0.18332979868002153
communication_score,0.0035459524860858233,0.0015982524797388176,0.0015413234914439101,0.0,0.005466797974862549
