ticker,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024
FEES,"ПАО ""РОССЕТИ""",24,Передача электроэнергии,FEES,,,1057380000000.0,1194380000000.0,1937340000000.0,2203310000000.0,733738000000.0,899458000000.0,-0.1455,0.0484,0.1117,0.07732,0.0,-0.31,0.0763,0.07082,0.0,-0.07,1,1,0.378735038,0.408229805,0.54578772,0.542082652,28.292337014118782,
FESH,"ПАО ""ДВМП""",30,Перевозка сухих сыпучих грузов морскими судами заграничного плавания,FESH,313.0,344.0,7523931000.0,8175688000.0,65798660000.0,65503582000.0,42953510000.0,46872673000.0,-0.0055,-0.0643,81.27,62.4,0.0,-0.23,59.14,52.97,0.0,-0.1,1,1,0.6528022,0.715574196,0.11434778,0.124812838,24.909865310328676,5.746203190540153
FIVE,Икс 5 Ритейл Груп Н.В.,19,Деятельность головных офисов,FIVE,417058.0,411000.0,421511000000.0,513535000000.0,1843000000000.0,1925000000000.0,288700000000.0,407000000000.0,0.06,0.049,2222.5,,648.0,-0.71,,,613.0,,0,0,0.156646772,0.211428571,0.22870917,0.266771429,28.242415794616235,12.940980579838016
FIXP,Фикс Прайс Груп Лтд,18,Деятельность холдинговых компаний,FIXP,40766.0,45234.0,29175000000.0,35897000000.0,123600000000.0,142600000000.0,18300000000.0,12600000000.0,0.173,0.078,295.1,171.4,0.373,-0.42,168.7,,0.11,,0,0,0.148058252,0.088359046,0.23604369,0.251732118,25.54031638197,10.615603679643675
FLOT,"ПАО ""Совкомфлот""",37,Деятельность морского грузового транспорта,FLOT,,105.0,,,679700000000.0,542500000000.0,135500000000.0,145300000000.0,0.068,-0.096,149.3,99.28,0.0,-0.34,95.21,76.19,4.87,-0.15,1,1,0.199352656,0.267834101,,,27.244917361299002,
GAZP,"ПАО ""ГАЗПРОМ""",33,Торговля оптовая природным (естественным) газом,GAZP,29509.0,,14557200000000.0,14718900000000.0,26162800000000.0,25736300000000.0,9832470000000.0,9304110000000.0,-0.041,0.0004,161.44,133.12,0.0,-0.18,128.66,125.36,0.0,-0.03,1,1,0.375818143,0.361516421,0.55640786,0.571911641,30.895359670429,10.292450580544786
GEMC,МКПАО ЮМГ,36,Деятельность холдинговых компаний,GEMC,1492.0,3244.0,10116689774.0,21063103444.0,38800000000.0,61600000000.0,5540000000.0,12100000000.0,0.267,0.174,,757.1,0.0,,756.6,846.5,0.0,0.12,0,0,0.142783505,0.196428571,0.26073943,0.341933497,24.381686083575637,7.307872780763706
GLTR,Глобалтранс Инвестмент ПЛС,21,Деятельность холдинговых компаний,GLTR,,,,,,,,,,,650.0,,,,,,,,0,0,,,,,,
GMKN,"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""",29,Производство никеля,GMKN,78700.0,,832893000000.0,878375000000.0,2085120000000.0,2173440000000.0,1589090000000.0,1505060000000.0,0.062,0.0665,,115.5,0.0,,112.68,149.46,0.0,0.33,0,0,0.762106021,0.692480387,0.39944527,0.404140653,28.36584752347998,11.273398434405495
HEAD,"МКПАО ""Хэдхантер""",25,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",HEAD,,,930126000.0,2153761000.0,24500000000.0,34900000000.0,1500000000.0,5000000.0,0.998,0.596,,3710.0,907.0,,3626.0,2912.0,466.0,-0.07,0,0,0.06122449,0.000143266,0.03796433,0.06171235,23.921938954497094,
