model_id,sample,outcome,block,specification,family,formula,term,coef,se_hc3,t,p_value,ci_low,ci_high,n,is_focal,term_status,effect_pp_per_10_points,se_pp_hc3,ci_low_pp,ci_high_pp,fdr_family,q_value_bh
all_managers__stock_return_2025__components_joint__M3__main,all_managers,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,face_score_10,0.06910589542119908,,,,,,43,True,undefined_hc3_and_press_leverage_one,6.910589542119908,,,,joint_components_2_outcomes,
all_managers__stock_return_2025__components_joint__M3__main,all_managers,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,communication_score_10,0.0627606659158313,,,,,,43,True,undefined_hc3_and_press_leverage_one,6.276066591583131,,,,joint_components_2_outcomes,
ceo__roa_2025__education__M3__main,ceo,roa_2025,education,M3,main,roa_2025 ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,0.009056817675097311,0.00890229858473395,1.0173572127347354,0.3119758835773256,-0.008652690100684578,0.026766325450879203,90,True,ok,0.9056817675097312,0.890229858473395,-0.8652690100684578,2.6766325450879203,education_and_indices_2_outcomes,0.7185551248637168
ceo__roa_2025__index_equal__M3__main,ceo,roa_2025,index_equal,M3,main,roa_2025 ~ index_equal_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,index_equal_10,-0.036835045574383836,0.03291198491009318,-1.1191985434791434,0.27700552705067155,-0.10572062166953214,0.032050530520764474,27,True,ok,-3.6835045574383836,3.291198491009318,-10.572062166953215,3.2050530520764475,education_and_indices_2_outcomes,0.7185551248637168
ceo__roa_2025__index_critic__M3__main,ceo,roa_2025,index_critic,M3,main,roa_2025 ~ index_critic_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,index_critic_10,-0.01751221351838395,0.024252338082097372,-0.722083514550341,0.47903674990914447,-0.06827294049985642,0.03324851346308852,27,True,ok,-1.751221351838395,2.4252338082097373,-6.8272940499856425,3.324851346308852,education_and_indices_2_outcomes,0.7185551248637168
ceo__roa_2025__components_joint__M3__main,ceo,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,media_score_10,-0.005701941556606485,0.015290069590738389,-0.37291795977569037,0.7141036750776737,-0.03811544110747456,0.026711557994261587,27,True,ok,-0.5701941556606485,1.5290069590738389,-3.8115441107474557,2.6711557994261588,joint_components_2_outcomes,0.9576592890546376
ceo__roa_2025__components_joint__M3__main,ceo,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,awards_score_10,-0.0045289915492801,0.013136178290516439,-0.3447723873045915,0.7347558191958229,-0.0323764455188611,0.0233184624203009,27,True,ok,-0.45289915492801003,1.3136178290516438,-3.2376445518861097,2.33184624203009,joint_components_2_outcomes,0.9576592890546376
ceo__roa_2025__components_joint__M3__main,ceo,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,0.000654294099235928,0.012132487518366495,0.05392909724781827,0.9576592890546376,-0.025065430483684932,0.02637401868215679,27,True,ok,0.0654294099235928,1.2132487518366495,-2.5065430483684934,2.637401868215679,joint_components_2_outcomes,0.9576592890546376
ceo__roa_2025__components_joint__M3__main,ceo,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,face_score_10,-0.028202997258974412,0.01717841291821488,-1.6417696671541626,0.12014401974382008,-0.064619605836509,0.008213611318560167,27,True,ok,-2.820299725897441,1.717841291821488,-6.4619605836508995,0.8213611318560167,joint_components_2_outcomes,0.4805760789752803
ceo__roa_2025__components_joint__M3__main,ceo,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,communication_score_10,,,,,,,27,True,constant_not_identified,,,,,joint_components_2_outcomes,
ceo__stock_return_2025__education__M3__main,ceo,stock_return_2025,education,M3,main,stock_return_2025 ~ expertise_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,0.019847396458633766,0.02253381201276605,0.8807829073655913,0.3816315070289533,-0.025142810829415094,0.06483760374668263,74,True,ok,1.9847396458633766,2.253381201276605,-2.514281082941509,6.483760374668263,education_and_indices_2_outcomes,0.7185551248637168
ceo__stock_return_2025__index_equal__M3__main,ceo,stock_return_2025,index_equal,M3,main,stock_return_2025 ~ index_equal_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,index_equal_10,0.046586027725999894,0.38180066477819663,0.12201662287063746,0.9049053907554458,-0.7852861590682116,0.8784582145202113,20,True,ok,4.6586027725999894,38.180066477819665,-78.52861590682116,87.84582145202113,education_and_indices_2_outcomes,0.9049053907554457
ceo__stock_return_2025__index_critic__M3__main,ceo,stock_return_2025,index_critic,M3,main,stock_return_2025 ~ index_critic_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,index_critic_10,0.07517975537864273,0.24236662786326083,0.31019021076225844,0.7617374140247221,-0.4528917628930127,0.6032512736502982,20,True,ok,7.517975537864273,24.236662786326082,-45.28917628930127,60.325127365029815,education_and_indices_2_outcomes,0.9049053907554457
ceo__stock_return_2025__components_joint__M3__main,ceo,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,media_score_10,-0.10617504369141387,,,,,,20,True,undefined_hc3_and_press_leverage_one,-10.617504369141386,,,,joint_components_2_outcomes,
ceo__stock_return_2025__components_joint__M3__main,ceo,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,awards_score_10,0.08560664273504849,,,,,,20,True,undefined_hc3_and_press_leverage_one,8.56066427350485,,,,joint_components_2_outcomes,
ceo__stock_return_2025__components_joint__M3__main,ceo,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,0.009769627283478922,,,,,,20,True,undefined_hc3_and_press_leverage_one,0.9769627283478922,,,,joint_components_2_outcomes,
ceo__stock_return_2025__components_joint__M3__main,ceo,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,face_score_10,0.061754630979783905,,,,,,20,True,undefined_hc3_and_press_leverage_one,6.17546309797839,,,,joint_components_2_outcomes,
ceo__stock_return_2025__components_joint__M3__main,ceo,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,communication_score_10,,,,,,,20,True,constant_not_identified,,,,,joint_components_2_outcomes,
