ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024,industry_group,media_score_10,awards_score_10,expertise_score_10,face_score_10,communication_score_10,index_equal_10,index_critic_10,roa_2025_w,stock_return_2025_w
BELU,58.169649852309725,0.0,41.009038389175736,48.88865578098765,,,,"ПАО ""НоваБев Групп""",26,"Перегонка, очистка и смешивание спиртов",BELU,14000.0,15000.0,13164000000.0,13574000000.0,122900000000.0,128300000000.0,34400000000.0,37600000000.0,0.037,0.04,5534.0,512.0,37.5,-0.9,508.0,407.8,30.0,-0.14,0,0,0.27990236,0.293063133,0.10711147,0.105798909,25.5346368535184,9.546812608597396,Прочие,5.816964985230973,0.0,4.100903838917573,4.888865578098764,,,,0.04,-0.14
BSPB,66.22229933357934,0.0,50.734861652545526,,,,,"ПАО ""Банк ""Санкт-Петербург""",35,Денежное посредничество прочее,BSPB,4819.0,5184.0,19505000000.0,21380000000.0,1137000000000.0,1306000000000.0,,,,,223.0,369.2,56.98,0.91,361.19,308.56,42.84,-0.03,0,0,,,0.01715479,0.016370597,27.75941433069695,8.480321716640333,Денежное посредничество прочее,6.622229933357934,0.0,5.073486165254552,,,,,,-0.03
CBOM,56.5473363449298,0.0,,37.02836907587439,50.0,,,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""",33,Денежное посредничество прочее,CBOM,7779.0,6338.0,17149000000.0,17724000000.0,5009000000000.0,4874000000000.0,,,0.004,,8.092,10.247,0.0,0.27,9.97,6.065,0.0,-0.39,0,0,,,0.00342364,0.003636438,29.242257410304028,8.959183074206774,Денежное посредничество прочее,5.65473363449298,0.0,,3.7028369075874386,5.0,,,,-0.39
CHMF,,,62.78602250190405,,,,,"ПАО ""СЕВЕРСТАЛЬ""",32,Производство листового горячекатаного стального проката,CHMF,,,286122000000.0,397216000000.0,794034000000.0,846546000000.0,355343000000.0,295099000000.0,0.132,0.1375,1427.0,1337.4,118.42,0.02,1288.6,962.2,0.0,-0.25,0,0,0.447516672,0.348591569,0.36034022,0.469220033,27.400392118435438,,Прочие,,,6.278602250190405,,,,,0.1375,-0.25
CHMK,50.34387423108457,0.0,,45.30560269797596,,,,"ПАО ""ЧМК""",33,Производство сортового горячекатаного проката и катанки,CHMK,,,65250798000.0,70313663000.0,296823000000.0,316609000000.0,220550000000.0,253693000000.0,-0.0236,-0.0633,9675.0,6060.0,0.0,-0.37,6565.0,4375.0,0.0,-0.33,0,0,0.743035776,0.801280131,0.21983077,0.222083409,26.416401838498643,,Прочие,5.034387423108457,0.0,,4.530560269797595,,,,-0.0633,-0.33
CIAN,,,33.72685395477607,,100.0,,,Cian PLC,24,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",CIAN,1070.0,934.0,85000000.0,94000000.0,13100000000.0,10100000000.0,0.0,0.0,0.13,0.264,658.4,527.4,0.0,-0.2,510.6,,104.0,,0,0,0.0,0.0,0.00648855,0.009306931,23.295878067153517,6.975413927455952,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",,,3.372685395477607,,10.0,,,0.264,
DATA,62.11695953386712,22.7670248696953,51.431343779923765,57.3473902934702,100.0,58.73254369539129,42.281293798315,"ПАО ""Группа Аренадата""",9,Разработка компьютерного программного обеспечения,DATA,632.0,836.0,73086000.0,90882000.0,4430000000.0,8960000000.0,77000000.0,73000000.0,0.44,0.298,,134.44,3.43,,135.22,78.44,6.43,-0.37,0,0,0.01738149,0.008147321,0.01649797,0.01014308,22.211665421003456,6.448889394146858,Разработка компьютерного программного обеспечения,6.2116959533867115,2.2767024869695303,5.143134377992377,5.73473902934702,10.0,5.873254369539129,4.2281293798315,0.298,-0.37
DELI,54.96371279948835,22.7670248696953,34.79396219677958,59.568541963270995,100.0,54.41864836584684,36.78791188605698,"ПАО ""Каршеринг Руссия""",10,Аренда и лизинг легковых автомобилей и легких автотранспортных средств,DELI,2538.0,2340.0,15316000000.0,13308000000.0,39900000000.0,36000000000.0,31400000000.0,31200000000.0,0.0,-0.104,,219.0,1.0,,213.35,109.2,0.0,-0.49,0,0,0.786967419,0.866666667,0.38385965,0.369666667,24.40964216084223,7.839131648274333,Прочие,5.496371279948835,2.2767024869695303,3.479396219677958,5.956854196327099,10.0,5.441864836584684,3.678791188605698,-0.104,-0.49
DIAS,56.177668552137305,0.0,65.37593439412622,,100.0,,,"ПАО ""Диасофт""",34,Разработка компьютерного программного обеспечения,DIAS,2443.0,2214.0,280569000.0,294412.0,8550000000.0,8520000000.0,0.0,461000000.0,0.281,0.13,,4260.0,171.9,,4365.0,1693.5,200.0,-0.57,0,0,0.0,0.054107981,0.03281509,3.45554e-05,22.86919711989508,7.8009820712577405,Разработка компьютерного программного обеспечения,5.6177668552137305,0.0,6.537593439412622,,10.0,,,0.13,-0.57
DVEC,59.72642366356225,0.0,51.82273665797342,,100.0,,,"ПАО ""ДЭК""",19,Торговля электроэнергией,DVEC,,,5363028000.0,6732455000.0,38164666000.0,38374624000.0,16843386000.0,16624871000.0,0.1143,0.0866,3.424,2.15,0.167,-0.32,2.151,1.788,0.104,-0.12,1,1,0.441334558,0.433225639,0.14052338,0.175440286,24.365175950684687,,Прочие,5.972642366356225,0.0,5.182273665797342,,10.0,,,0.0866,-0.12
ELFV,55.44638597458025,0.0,32.68730822323783,,100.0,,,"ПАО ""ЭЛ5-Энерго""",21,Производство электроэнергии,ELFV,1527.0,2100.0,55680516000.0,63947218000.0,73700000000.0,81300000000.0,30800000000.0,23100000000.0,0.062,0.132,0.6916,0.5184,0.0,-0.25,0.5206,0.493,0.0,-0.05,0,0,0.417910448,0.284132841,0.75550225,0.786558647,25.0232686361417,7.3310603052186325,Прочие,5.544638597458025,0.0,3.268730822323783,,10.0,,,0.132,-0.05
ENPG,56.15065178978447,0.0,50.93833838027155,,100.0,,,"МКПАО ""ЭН+ ГРУП""",23,Деятельность холдинговых компаний,ENPG,93486.0,95331.0,1044760000000.0,1069280000000.0,2503000000000.0,2568000000000.0,980800000000.0,1034000000000.0,0.036,0.014,448.8,348.2,0.0,-0.22,351.1,451.45,0.0,0.29,0,0,0.39184978,0.402647975,0.41740268,0.41638659,28.548511128378184,11.445566971445409,Деятельность холдинговых компаний,5.615065178978447,0.0,5.093833838027155,,10.0,,,0.014,0.29
ETLN,61.319006345531506,0.0,63.707814240073745,58.40982957929796,100.0,56.68733003298064,36.477030762956474,ETALON GROUP PLC,38,Деятельность холдинговых компаний,ETLN,6330.0,7123.0,7259000000.0,8803000000.0,336400000000.0,380200000000.0,176600000000.0,222500000000.0,-0.006,-0.059,84.7,54.82,0.0,-0.35,54.24,38.8,0.0,-0.28,0,0,0.524970273,0.585218306,0.02157848,0.023153603,26.541566765045204,8.753055515138222,Деятельность холдинговых компаний,6.13190063455315,0.0,6.370781424007374,5.840982957929796,10.0,5.668733003298064,3.6477030762956475,-0.059,-0.28
