ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024,industry_group,media_score_10,awards_score_10,expertise_score_10,face_score_10,communication_score_10,index_equal_10,index_critic_10,roa_2025_w,stock_return_2025_w
GEMC,54.58324838368529,0.0,59.55501406805792,58.15515350368304,100.0,54.45868319108526,34.20575184026583,МКПАО ЮМГ,36,Деятельность холдинговых компаний,GEMC,1492.0,3244.0,10116689774.0,21063103444.0,38800000000.0,61600000000.0,5540000000.0,12100000000.0,0.267,0.174,,757.1,0.0,,756.6,846.5,0.0,0.12,0,0,0.142783505,0.196428571,0.26073943,0.341933497,24.381686083575637,7.307872780763706,Деятельность холдинговых компаний,5.4583248383685286,0.0,5.9555014068057925,5.815515350368304,10.0,5.445868319108525,3.4205751840265832,0.174,0.12
HEAD,57.01287518315475,58.85190554114832,42.03761296101695,59.93151654244704,100.0,63.56678204555342,53.971043551848965,"МКПАО ""Хэдхантер""",25,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",HEAD,,,930126000.0,2153761000.0,24500000000.0,34900000000.0,1500000000.0,5000000.0,0.998,0.596,,3710.0,907.0,,3626.0,2912.0,466.0,-0.07,0,0,0.06122449,0.000143266,0.03796433,0.06171235,23.921938954497094,,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",5.701287518315475,5.885190554114832,4.203761296101694,5.993151654244704,10.0,6.356678204555342,5.397104355184896,0.596,-0.07
HYDR,62.79123078401961,0.0,48.067867899788666,34.98939231719343,100.0,49.169698200200344,28.74669544857339,"ПАО ""РУСГИДРО""",21,"Производство электроэнергии гидроэлектростанциями, в том числе деятельность по обеспечению работоспособности электростанций",HYDR,,,714172000000.0,974624000000.0,1317970000000.0,1552960000000.0,562166000000.0,729720000000.0,-0.0108,0.0466,0.7328,0.5206,0.0,-0.29,0.514,0.4143,0.0,-0.19,1,1,0.426538346,0.469890391,0.54187121,0.627592208,27.90711378998957,,Прочие,6.279123078401961,0.0,4.806786789978867,3.498939231719343,10.0,4.916969820020034,2.874669544857339,0.0466,-0.19
IRAO,65.34807161472807,0.0,42.0409881506541,51.634772327063295,100.0,51.8047664184891,29.95914093401149,"ПАО ""ИНТЕР РАО""",23,Торговля электроэнергией,IRAO,,,2055453000.0,2586627000.0,806734000000.0,754533000000.0,336535000000.0,284644000000.0,0.0487,0.0452,4.0095,3.729,0.3538,0.02,3.7455,3.095,0.3214,-0.09,1,1,0.417157638,0.377245385,0.00254787,0.003428116,27.416259835019897,,Прочие,6.534807161472807,0.0,4.20409881506541,5.163477232706329,10.0,5.1804766418489105,2.995914093401149,0.0452,-0.09
KAZT,60.999804154911075,0.0,56.49650507192956,40.04401852764573,100.0,51.50806555089728,31.61252905968498,"ПАО ""КУЙБЫШЕВАЗОТ""",33,Производство азотных минеральных или химических удобрений,KAZT,,,40571672000.0,41649623000.0,115408000000.0,117643000000.0,22938886000.0,18117169000.0,0.0477,0.0709,639.6,459.0,9.5,-0.27,479.0,417.4,4.0,-0.12,0,0,0.198764212,0.154001212,0.35155135,0.354033922,25.471739512707728,,Прочие,6.099980415491108,0.0,5.649650507192956,4.004401852764573,10.0,5.150806555089728,3.161252905968498,0.0709,-0.12
MGTSP,52.25563174595662,0.0,45.12127944742853,60.446831037318795,100.0,51.56474844614078,30.104469341548583,ПАО МГТС,143,Деятельность в области связи на базе проводных технологий,MGTSP,4357.0,3853.0,45756000000.0,52969000000.0,191700000000.0,227500000000.0,0.0,1350000000.0,0.128,0.126,1328.0,838.0,0.0,-0.37,838.0,800.0,0.0,-0.05,0,0,0.0,0.005934066,0.23868545,0.232830769,25.97919748699801,8.379539026117442,Прочие,5.225563174595662,0.0,4.512127944742852,6.044683103731879,10.0,5.1564748446140785,3.0104469341548583,0.126,-0.05
MRKP,56.37765932311235,0.0,44.537603320544264,45.36922428229937,100.0,49.2568973851912,28.30893254043929,"ПАО ""РОССЕТИ ЦЕНТР И ПРИВОЛЖЬЕ""",19,Передача электроэнергии,MRKP,20010.0,,138050000000.0,156708000000.0,195040000000.0,218541000000.0,87284814000.0,93648259000.0,0.0724,0.11,0.3157,0.3457,0.0502,0.25,0.3428,0.554,0.0725,0.83,1,1,0.447522613,0.42851567,0.70780225,0.717063345,25.996470502679372,9.903987427577778,Передача электроэнергии,5.637765932311234,0.0,4.453760332054427,4.536922428229937,10.0,4.92568973851912,2.830893254043929,0.11,0.83
MRKV,73.20585961993076,0.0,57.03147426739045,55.558663893498334,100.0,57.15919955616391,36.025989058056226,"ПАО ""РОССЕТИ ВОЛГА""",19,Передача электроэнергии,MRKV,,,69190660000.0,79976510000.0,86384071000.0,105433000000.0,37003477000.0,46549788000.0,0.0394,0.1136,0.056,0.0644,0.0074,0.28,0.06405,0.15405,0.0212,1.74,1,1,0.428359958,0.441508695,0.80096549,0.758549632,25.18206913233347,,Передача электроэнергии,7.320585961993077,0.0,5.703147426739045,5.555866389349833,10.0,5.715919955616391,3.6025989058056225,0.1136,1.0774000000000006
NKNC,82.00320255260027,0.0,51.952647786510454,57.50229313151695,100.0,58.29162869412554,36.265735417211125,"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""",33,Производство пластмасс и синтетических смол в первичных формах,NKNC,,,364068000000.0,447733000000.0,525680000000.0,615400000000.0,262833000000.0,338907000000.0,0.0668,0.0333,104.05,90.0,2.93,-0.11,90.05,78.05,0.83,-0.12,0,0,0.499985909,0.550709599,0.69256605,0.727546936,26.987958499536024,,Прочие,8.200320255260028,0.0,5.195264778651046,5.750229313151695,10.0,5.829162869412555,3.6265735417211125,0.0333,-0.12
PHOR,52.708335749113616,0.0,46.14580060687954,47.61191769916456,100.0,49.29321081103154,28.5260205676824,"ПАО ""ФОСАГРО""",24,Деятельность холдинговых компаний,PHOR,,,11967000.0,8875000.0,291884000000.0,335268000000.0,243044000000.0,252642000000.0,0.2809,0.2314,6663.0,6386.0,345.0,0.01,6305.0,6369.0,273.0,0.05,0,0,0.832676012,0.753551403,4.0999e-05,2.64713e-05,26.399622300011952,,Деятельность холдинговых компаний,5.270833574911362,0.0,4.614580060687954,4.761191769916456,10.0,4.929321081103154,2.85260205676824,0.2314,0.05
PIKK,56.78517088634679,0.0,17.125485499215316,53.04525034138326,100.0,45.39118134538908,21.78074642894385,"ПАО ""ПИК СЗ""",31,"Капиталовложения в уставные капиталы, венчурное инвестирование, в том числе посредством инвестиционных компаний",PIKK,1881.0,,1436451000.0,744985000.0,280688000000.0,292628000000.0,97517312000.0,85857786000.0,0.0106,0.0835,678.9,507.8,0.0,-0.25,505.9,477.8,0.0,-0.06,0,0,0.347421996,0.293402773,0.0051176,0.002545846,26.36050956913324,7.53955882930103,Прочие,5.678517088634679,0.0,1.7125485499215316,5.304525034138326,10.0,4.539118134538908,2.178074642894385,0.0835,-0.06
PRMD,69.40520865500473,0.0,48.67601391152162,47.46857747092461,100.0,53.1099600074902,31.843507797968908,"ПАО ""ПРОМОМЕД""",20,Деятельность холдинговых компаний,PRMD,2215.0,2826.0,16105376000.0,18652480000.0,53100000000.0,71000000000.0,20500000000.0,25900000000.0,0.054,0.099,,355.25,0.0,,393.0,405.35,0.0,0.03,0,0,0.38606403,0.364788732,0.30330275,0.262710986,24.695442765194304,7.703007682479236,Деятельность холдинговых компаний,6.940520865500472,0.0,4.867601391152162,4.746857747092461,10.0,5.31099600074902,3.184350779796891,0.099,0.03
RENI,62.79123078401961,52.8633946819448,30.503775168311986,45.32544960812873,100.0,58.29677004848103,46.96120055324058,ПАО Группа Ренессанс Страхование,28,"Страхование, кроме страхования жизни",RENI,3272.0,3095.0,1654892000.0,1535302000.0,266500000000.0,323200000000.0,256000000.0,44000000.0,0.041,0.034,94.0,110.5,10.0,0.28,108.38,95.72,10.0,-0.02,0,0,0.0009606,0.000136139,0.00620973,0.004750316,26.308640080552312,8.093156697722637,Прочие,6.279123078401961,5.2863394681944795,3.0503775168311984,4.5325449608128725,10.0,5.829677004848103,4.696120055324058,0.034,-0.02
SMLT,62.56793102881347,0.0,41.46976620734526,47.618552233104,100.0,50.33124989385255,28.75391508062069,"ПАО ""ГК ""Самолет""",13,Строительство жилых и нежилых зданий,SMLT,7631.0,6139.0,7937000000.0,12157000000.0,961100000000.0,1020000000000.0,641100000000.0,749100000000.0,0.006,-0.002,3912.0,1040.0,0.0,-0.73,1009.5,985.0,0.0,-0.02,0,0,0.667048174,0.734411765,0.00825825,0.011918627,27.59134429877565,8.939974177289633,Прочие,6.256793102881347,0.0,4.1469766207345256,4.7618552233104,10.0,5.033124989385255,2.875391508062069,-0.002,-0.02
SOFL,66.56753424923825,0.0,41.06821708661303,44.525345175815296,100.0,50.43221930233332,28.80145013846724,"ПАО ""Софтлайн""",32,Деятельность консультативная и работы в области компьютерных технологий,SOFL,11263.0,10665.0,7282000000.0,6660000000.0,100900000000.0,117700000000.0,21400000000.0,27900000000.0,0.037,0.016,148.12,118.94,2.5,-0.18,118.82,79.0,0.18,-0.33,0,0,0.212091179,0.237043331,0.07217047,0.056584537,25.337395764305974,9.329278296047697,Прочие,6.656753424923825,0.0,4.106821708661303,4.45253451758153,10.0,5.043221930233332,2.880145013846724,0.016,-0.33
TATN,71.36631971421447,0.0,23.98841654767983,57.2352051099389,100.0,50.51798827436664,26.64580870874672,"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА",24,Производство жидкого топлива,TATN,,,434810000000.0,480742000000.0,1493120000000.0,1407310000000.0,500987000000.0,423627000000.0,0.1705,0.1006,720.9,688.9,98.7,0.09,668.7,580.7,34.09,-0.08,1,1,0.335530817,0.30101795,0.29120951,0.341602385,28.031889006339423,,Прочие,7.136631971421447,0.0,2.398841654767983,5.7235205109938905,10.0,5.051798827436664,2.664580870874672,0.1006,-0.08
TTLK,65.27739683836148,0.0,55.97880861893003,52.63331944267114,100.0,54.77790497999253,34.040475040503864,"ПАО ""ТАТТЕЛЕКОМ""",23,Деятельность по предоставлению услуг телефонной связи,TTLK,3441.0,3427.0,4068740000.0,4287581000.0,18793594000.0,20266583000.0,4154318000.0,4846883000.0,0.0868,0.0815,1.0085,0.725,0.0378,-0.24,0.755,0.6005,0.0573,-0.13,1,1,0.221049683,0.239156398,0.21649611,0.211559146,23.656781904034805,8.14351740579748,Прочие,6.527739683836148,0.0,5.597880861893003,5.263331944267113,10.0,5.477790497999253,3.4040475040503866,0.0815,-0.13
